ID,__name__,released,starring,originating from,directed by,produced by,distributed by,edited by,screenwriter,music by
101247,Westward the Women,1951,Robert Taylor,United States of America,William A. Wellman,Dore Schary,Metro-Goldwyn-Mayer,James E. Newcom,Frank Capra,Jeff Alexander
101262,Geek Charming,2011,Sasha Pieterse,United States of America,Jeffrey Hornaday,Tracey Jeffrey,Netflix,David Finfer,Elizabeth Hackett,Nathan Wang
101283,The Incredible Burt Wonderstone,2013,Alan Arkin,United States of America,Don Scardino,Steve Carell,Warner Bros.,Lee Haxall,John Francis Daley,Lyle Workman
101287,The Red Spectacles,1987,Hideyo Amamoto,Japan,Mamoru Oshii,Shigeharu Shiba,Omnibus Promotion,Seiji Morita,Mamoru Oshii,Kenji Kawai
101296,I'm So Excited,2013,Penélope Cruz,Spain,Pedro Almodóvar,Agustín Almodóvar,Sony Pictures Classics,José Salcedo,Pedro Almodóvar,Alberto Iglesias
1013,The Parent Trap,1961,Cathleen Nesbitt,United States of America,David Swift,Walt Disney,Netflix,Philip W. Anderson,David Swift,Paul Smith
101319,Operation Daybreak,1975,Jaroslav Drbohlav,United States of America,Lewis Gilbert,Carter DeHaven,Warner Bros.,Thelma Connell,Ronald Harwood,David Hentschel
101362,Olympus Has Fallen,2013,Dylan McDermott,United States of America,Antoine Fuqua,Gerard Butler,FilmDistrict,John Refoua,Creighton Rothenberger,Trevor Morris
1014,Pollyanna,1960,Karl Malden,United States of America,David Swift,Walt Disney,Netflix,Frank Gross,David Swift,Paul Smith
101400,Abraham Lincoln,1930,Frank Campeau,United States of America,D. W. Griffith,Joseph M. Schenck,United Artists Corporation,James Smith,Stephen Vincent Benét,Hugo Riesenfeld
101450,The Kiss,1929,Greta Garbo,United States of America,Jacques Feyder,Irving Thalberg,Metro-Goldwyn-Mayer,Ben Lewis,Hanns Kräly,Rudolf Friml
101485,Upper World,1934,Ginger Rogers,United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,Owen Marks,Ben Hecht,Bernhard Kaun
101498,In the House,2012,Emmanuelle Seigner,France,François Ozon,Claudie Ossard,Vertigo Média,Laure Gardette,François Ozon,Philippe Rombi
101577,The Host,2013,Frances Fisher,United States of America,Andrew Niccol,Stephenie Meyer,Netflix,Thomas J. Nordberg,Stephenie Meyer,Antonio Pinto
101595,A Breed Apart,1984,Powers Boothe,United States of America,Philippe Mora,John Daly,Hemdale Film Corporation,Chris Lebenzon,Paul Wheeler,Maurice Gibb
1016,The Shaggy Dog,1959,Jean Hagen,United States of America,Charles Barton,Walt Disney,Netflix,James Ballas,Bill Walsh,Paul Smith
101627,Confidential Agent,1945,Charles Boyer,United States of America,Herman Shumlin,Robert Buckner,Warner Bros.,George Amy,Robert Buckner,Franz Waxman
101648,The Flat,2011,Yoni Rechter,Israel,Arnon Goldfinger,Thomas Kufus,Hulu,Tali Helter-Shenkar,Arnon Goldfinger,Yoni Rechter
101653,Magadheera,2009,Kajal Aggarwal,India,S. S. Rajamouli,B. V. S. N. Prasad,Geetha Arts,Kotagiri Venkateswara Rao,S. S. Rajamouli,M. M. Keeravani
101664,Hey Ram,2000,Shah Rukh Khan,India,Kamal Haasan,Kamal Haasan,Netflix,Renu Saluja,Kamal Haasan,Ilaiyaraaja
101666,A Night in Heaven,1983,Andy Garcia,United States of America,John G. Avildsen,Hawk Koch,Netflix,John G. Avildsen,Joan Tewkesbury,Jan Hammer
101674,The Ghost Galleon,1974,Blanca Estrada,Spain,Amando de Ossorio Rodríguez,José Luis Bermúdez,Netflix,Petra de Nieva,Amando de Ossorio Rodríguez,Antón García Abril
1017,Swiss Family Robinson,1960,Janet Munro,United States of America,Ken Annakin,Walt Disney,Netflix,Peter Boita,Lowell S. Hawley,William Alwyn
101719,Koi... Mil Gaya,2003,Hrithik Roshan,India,Rakesh Roshan,Rakesh Roshan,Netflix,Sanjay Sankla,Sachin Bhowmick,Rajesh Roshan
101739,Evil Dead,2013,Lorenzo Lamas,United States of America,Fede Álvarez,Bruce Campbell,Netflix,Bryan Shaw,Diablo Cody,Roque Baños
101741,Trance,2013,James McAvoy,United Kingdom,Danny Boyle,Christian Colson,Searchlight Pictures,Jon Harris,Joe Ahearne,Rick Smith
101747,The War of the Gargantuas,1968,Russ Tamblyn,Japan,Ishirō Honda,Tomoyuki Tanaka,Netflix,Ryōhei Fujii,Ishirō Honda,Akira Ifukube
1018,That Darn Cat!,1965,Frank Gorshin,United States of America,Robert Stevenson,Walt Disney,Walt Disney Studios Motion Pictures,Cotton Warburton,Bill Walsh,Sherman Brothers
101812,The Mountain,1956,Spencer Tracy,United States of America,Edward Dmytryk,Edward Dmytryk,Paramount Pictures,Frank Bracht,Ranald MacDougall,Daniele Amfitheatrof
101820,The Fighting Prince of Donegal,1966,Maurice Roëves,United States of America,Michael O'Herlihy,Walt Disney,Walt Disney Studios Motion Pictures,Peter Boita,Robert Westerby,George Bruns
101827,Don't Make Waves,1967,Claudia Cardinale,United States of America,Alexander Mackendrick,John Calley,Metro-Goldwyn-Mayer,Rita Roland,Terry Southern,Vic Mizzy
101864,Oblivion,2013,Morgan Freeman,United States of America,Joseph Kosinski,Joseph Kosinski,Netflix,Richard Francis-Bruce,Michael Arndt,M83
101880,Siberian Education,2013,Stefano Rulli,Italy,Gabriele Salvatores,Riccardo Tozzi,Netflix,Massimo Fiocchi,Gabriele Salvatores,Mauro Pagani
101884,Dark Tide,2012,Ralph Brown,United States of America,John Stockwell,Jeanette B. Milio,Netflix,Andrew MacRitchie,Ronnie Christensen,Mark Sayfritz
101895,42,2013,Rhoda Griffis,United States of America,Brian Helgeland,Thomas Tull,Warner Bros.,Peter McNulty,Brian Helgeland,Mark Isham
1019,"20,000 Leagues Under the Sea",1954,Kirk Douglas,United States of America,Richard Fleischer,Walt Disney,Netflix,Elmo Williams,Earl Felton,Al Hoffman
101942,Love Is All You Need,2012,Sebastian Jessen,Sweden,Susanne Bier,Vibeke Windeløv,Cirko Film,Morten Egholm,Susanne Bier,Johan Söderqvist
1020,Cool Runnings,1993,Peter Outerbridge,Canada,Jon Turteltaub,Dawn Steel,Netflix,Bruce Green,Michael Goldberg,Hans Zimmer
102033,Pain & Gain,2013,Dwayne Johnson,United States of America,Michael Bay,Michael Bay,UIP-Dunafilm,Tom Muldoon,Christopher Markus and Stephen McFeely,Steve Jablonsky
102047,The Bride Came C.O.D.,1941,Bette Davis,United States of America,William Keighley,Hal B. Wallis,Warner Bros.,Thomas Richards,Philip G. Epstein,Max Steiner
102088,The Grandmaster,2013,Zhang Ziyi,People's Republic of China,Wong Kar-wai,Wong Kar-wai,Netflix,William Chang,Wong Kar-wai,Shigeru Umebayashi
1021,Angels in the Outfield,1994,Christopher Lloyd,United States of America,William Dear,Joe Roth,Netflix,Bruce Green,Holly Goldberg Sloan,Randy Edelman
102109,Polly of the Circus,1932,Clark Gable,United States of America,Alfred Santell,Marion Davies,Metro-Goldwyn-Mayer,George Hively,Carey Wilson,William Axt
102123,This Is the End,2013,Rihanna,United States of America,Seth Rogen,Seth Rogen,Netflix,Zene Baker,Seth Rogen,Henry Jackman
102125,Iron Man 3,2013,Bill Maher,United States of America,Shane Black,Kevin Feige,Paramount Pictures,Jeffrey Ford,Stan Lee,Brian Tyler
102131,Valentino,1977,Rudolf Nureyev,United Kingdom,Ken Russell,Robert Chartoff,United Artists Corporation,Stuart Baird,Ken Russell,Stanley Black
102138,The Black Camel,1931,Bela Lugosi,United States of America,Hamilton MacFadden,Hamilton MacFadden,Netflix,Alfred DeGaetano,Dudley Nichols,Samuel Kaylin
102174,Day of the Falcon,2011,Freida Pinto,Italy,Jean-Jacques Annaud,Tarak Ben Ammar,Hulu,Hervé Schneid,Jean-Jacques Annaud,James Horner
102303,Ovosodo,1997,Nicoletta Braschi,Italy,Paolo Virzì,Vittorio Cecchi Gori,Cecchi Gori Group,Jacopo Quadri,Paolo Virzì,Battista Lena
102373,"Tomorrow, the World",1944,Fredric March,United States of America,Leslie Fenton,Lester Cowan,United Artists Corporation,Anne Bauchens,Ring Lardner,Louis Applebaum
1024,The Three Caballeros,1945,Aurora Miranda,United States of America,Norm Ferguson,Walt Disney,RKO Pictures,Donald Halliday,Bill Peet,Paul Smith
102407,The Great Gatsby,2013,Amitabh Bachchan,United States of America,Baz Luhrmann,Baz Luhrmann,InterCom,Jason Ballantine,Baz Luhrmann,Craig Armstrong
102445,Star Trek Into Darkness,2013,Bill Hader,United States of America,J. J. Abrams,J. J. Abrams,Paramount Pictures,Maryann Brandon,Damon Lindelof,Michael Giacchino
102456,An American Romance,1944,Snub Pollard,United States of America,King Vidor,King Vidor,Loews Cineplex Entertainment,Conrad A. Nervig,William Ludwig,Louis Gruenberg
102481,The Internship,2013,Aasif Mandvi,United States of America,Shawn Levy,Vince Vaughn,InterCom,Dean Zimmerman,Vince Vaughn,Christophe Beck
102483,Bliss,2007,Özgü Namal,Turkey,Abdullah Oğuz,Abdullah Oğuz,Netflix,Abdullah Oğuz,Zülfü Livaneli,Zülfü Livaneli
102535,Sissi – The Young Empress,1956,Josef Meinrad,Austria,Ernst Marischka,Ernst Marischka,Netflix,Alfred Srp,Ernst Marischka,Anton Profes
1026,So Dear to My Heart,1949,Burl Ives,United States of America,Hamilton Luske,Walt Disney,RKO Pictures,Lloyd Richardson,John Tucker Battle,Don Raye
102684,Only God Forgives,2013,Ryan Gosling,United States of America,Nicolas Winding Refn,Lene Børglum,The Weinstein Company,Matthew Newman,Nicolas Winding Refn,Cliff Martinez
102686,The Hangover Part III,2013,Justin Bartha,United States of America,Todd Phillips,Todd Phillips,Warner Bros.,Debra Neil-Fisher,Todd Phillips,Christophe Beck
1027,Robin Hood: Prince of Thieves,1991,Sean Connery,United States of America,Kevin Reynolds,Kevin Costner,Netflix,Peter Boyle,Pen Densham,Michael Kamen
102747,The Rink,1916,Charlie Chaplin,United States of America,Charlie Chaplin,Charlie Chaplin,Mutual Film,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin
1028,Mary Poppins,1964,Glynis Johns,United States of America,Robert Stevenson,Walt Disney,Microsoft Store,Cotton Warburton,Bill Walsh,Irwin Kostal
102819,Behind the Candelabra,2013,Michael Douglas,United States of America,Steven Soderbergh,Gregory Jacobs,HBO,Steven Soderbergh,Richard LaGravenese,Marvin Hamlisch
102856,3096 Days,2013,Trine Dyrholm,Germany,Sherry Hormann,Martin Moszkowicz,Paris Filmes,Mona Bräuer,Bernd Eichinger,Martin Todsharow
102880,After Earth,2013,Will Smith,United States of America,M. Night Shyamalan,Will Smith,Columbia Pictures,Steven Rosenblum,M. Night Shyamalan,James Newton Howard
102903,Now You See Me,2013,Morgan Freeman,United States of America,Louis Leterrier,Alex Kurtzman,Netflix,Robert Leighton,Ed Solomon,Brian Tyler
102947,A Walk with Love and Death,1969,Michael Gough,United States of America,John Huston,Carter DeHaven,20th Century Studios,Russell Lloyd,Dale Wasserman,Georges Delerue
102965,Attack on the Iron Coast,1968,Walter Gotell,United States of America,Paul Wendkos,John C. Champion,Netflix,Ernest Hosler,Herman Hoffman,Gerard Schurmann
102993,"The Way, Way Back",2013,AnnaSophia Robb,United States of America,Nat Faxon,Tom Rice,Netflix,Tatiana S. Riegel,Nat Faxon,Rob Simonsen
103006,Penthouse,1933,Myrna Loy,United States of America,W. S. Van Dyke,Hunt Stromberg,Metro-Goldwyn-Mayer,Robert J. Kern,Ayn Rand,William Axt
103017,The Body,2012,Belén Rueda,Spain,Oriol Paulo,Mikel Lejarza Ortiz,Roadside Attractions,Joan Manel Vilaseca,Oriol Paulo,Sergio Moure de Oteyza
103027,Much Ado About Nothing,2012,Clark Gregg,United States of America,Joss Whedon,Joss Whedon,Netflix,Joss Whedon,Joss Whedon,Joss Whedon
103030,Any Day Now,2012,Frances Fisher,United States of America,Travis Fine,Chip Hourihan,Music Box Films,Tom Cross,Travis Fine,Joey Newman
103042,Man of Steel,2013,Kevin Costner,United States of America,Zack Snyder,Christopher Nolan,Warner Bros.,David Brenner,Christopher Nolan,Hans Zimmer
103083,The Reluctant Fundamentalist,2012,Nelsan Ellis,United States of America,Mira Nair,Lydia Dean Pilcher,Netflix,Shimit Amin,Mohsin Hamid,Michael Andrews
1031,Bedknobs and Broomsticks,1971,Roddy McDowall,United States of America,Robert Stevenson,Bill Walsh,Netflix,Cotton Warburton,Bill Walsh,Irwin Kostal
103105,Tetsuo: The Bullet Man,2009,Shinya Tsukamoto,Japan,Shinya Tsukamoto,Shinya Tsukamoto,Netflix,Shinya Tsukamoto,Shinya Tsukamoto,Chu Ishikawa
103137,The Bling Ring,2013,Emma Watson,Japan,Sofia Coppola,Sofia Coppola,Netflix,Sarah Flack,Sofia Coppola,Oneohtrix Point Never
103219,Maniac,2012,Zoe Aggeliki,United States of America,Franck Khalfoun,Thomas Langmann,Netflix,Franck Khalfoun,Grégory Levasseur,Robin Coudert
103228,Pacific Rim,2013,Ron Perlman,United States of America,Guillermo del Toro,Mary Parent,Warner Bros.,Peter Amundson,Guillermo del Toro,Ramin Djawadi
103243,Ada,1961,Martin Balsam,United States of America,Daniel Mann,Lawrence Weingarten,Metro-Goldwyn-Mayer,Ralph E. Winters,Arthur Sheekman,Bronisław Kaper
103249,World War Z,2013,Mireille Enos,United States of America,Marc Forster,Brad Pitt,Paramount Pictures,Roger Barton,Max Brooks,Marco Beltrami
103253,Elysium,2013,Jodie Foster,United States of America,Neill Blomkamp,Simon Kinberg,Netflix,Julian Clarke,Neill Blomkamp,Ryan Amon
103266,Mr. Moto's Gamble,1938,Peter Lorre,United States of America,James Tinling,John Stone,20th Century Studios,Nick DeMaggio,Charles Belden,David Buttolph
103306,Europa Report,2013,Embeth Davidtz,United States of America,Sebastián Cordero,Ben Browning,Netflix,Craig McKay,Philip Gelatt,Bear McCreary
103333,Blutzbrüdaz,2013,Mario Barth,Germany,Özgür Yıldırım,Fatih Akın,Constantin Film,Sebastian Thümler,Özgür Yıldırım,Sido
103341,The World's End,2013,Eddie Marsan,Japan,Edgar Wright,Eric Fellner,Netflix,Paul Machliss,Edgar Wright,Steven Price
103366,Redemption,2013,Jason Statham,United States of America,Steven Knight,Paul Webster,Netflix,Valerio Bonelli,Steven Knight,Dario Marianelli
103372,The Heat,2013,Jane Curtin,United States of America,Paul Feig,Peter Chernin,Netflix,Brent White,Katie Dippold,Michael Andrews
103380,Very Important Person,1961,James Robertson Justice,United Kingdom,Ken Annakin,Julian Wintle,Rank Organisation,Ralph Sheldon,Jack Davies,Reg Owen
103384,The Lone Ranger,2013,Johnny Depp,United States of America,Gore Verbinski,Jerry Bruckheimer,Walt Disney Studios Motion Pictures,Craig Wood,Terry Rossio,Hans Zimmer
1034,Freeway,1996,Reese Witherspoon,United States of America,Matthew Bright,Brad Wyman,Republic Pictures,Maysie Hoy,Matthew Bright,Danny Elfman
103449,Passion,2012,Karoline Herfurth,France,Brian De Palma,Saïd Ben Saïd,Netflix,François Gédigier,Brian De Palma,Pino Donaggio
1035,The Sound of Music,1965,Julie Andrews,United States of America,Robert Wise,Robert Wise,20th Century Studios,William H. Reynolds,Ernest Lehman,Richard Rodgers
103515,Along the Great Divide,1951,Kirk Douglas,United States of America,Raoul Walsh,Anthony Veiller,Warner Bros.,Thomas Reilly,Walter Doniger,David Buttolph
103541,Thanks for Sharing,2012,Gwyneth Paltrow,United States of America,Stuart Blumberg,Edward Norton,Hulu,Anne McCabe,Matt Winston,Christopher Lennertz
103549,What's in a Name?,2012,Patrick Bruel,Belgium,Alexandre de La Patellière,Dimitri Rassam,Netflix,Célia Lafitedupont,Alexandre de La Patellière,Jérôme Rebotier
103554,A Hijacking,2012,Søren Malling,Denmark,Tobias Lindholm,René Ezra,Nordisk Film,Adam Nielsen,Tobias Lindholm,Hildur Guðnadóttir
103576,Chu Chin Chow,1934,Fritz Kortner,United Kingdom,Walter Forde,Michael Balcon,Netflix,Derek Twist,Sidney Gilliat,Sidney Gilliat
1036,Die Hard,1988,Bruce Willis,United States of America,John McTiernan,Joel Silver,Netflix,John F. Link,Roderick Thorp,Michael Kamen
103655,R.I.P.D.,2013,Ryan Reynolds,United States of America,Robert Schwentke,Neal H. Moritz,UIP-Dunafilm,Mark Helfrich,Matt Manfredi,Christophe Beck
103671,Joker,2012,Akshay Kumar,India,Shirish Kunder,Farah Khan,Netflix,Shirish Kunder,Shirish Kunder,Shirish Kunder
103688,The Conjuring,2013,Ron Livingston,United States of America,James Wan,Peter Safran,Netflix,Kirk M. Morri,Carey Hayes,Joseph Bishara
1037,The Lawnmower Man,1992,Pierce Brosnan,United States of America,Brett Leonard,Gimel Everett,New Line Cinema,Alan Baumgarten,Stephen King,Dan Wyman
103772,The Wolverine,2013,Hugh Jackman,United Kingdom,James Mangold,Hugh Jackman,20th Century Studios,Michael McCusker,Mark Bomback,Marco Beltrami
103787,Gold,2013,Marko Mandić,Germany,Thomas Arslan,Florian Koerner von Gustorf,Netflix,Bettina Böhler,Thomas Arslan,Dylan Carlson
103810,RED 2,2013,Bruce Willis,United States of America,Dean Parisot,Lorenzo di Bonaventura,Netflix,Don Zimmerman,Jon Hoeber,Alan Silvestri
103823,"Nick Carter, Master Detective",1939,Walter Pidgeon,United States of America,Jacques Tourneur,Lucien Hubbard,Metro-Goldwyn-Mayer,Elmo Veron,Bertram Millhauser,Edward Ward
103851,Page Miss Glory,1935,Al Shean,United States of America,Mervyn LeRoy,Marion Davies,Warner Bros.,William Clemens,Delmer Daves,Heinz Eric Roemheld
103867,Night Train to Lisbon,2013,August Diehl,Switzerland,Bille August,Kerstin Ramcke,iTunes,Hansjörg Weißbrich,Peter Bieri,Annette Focks
103881,The Hard Man,1957,Valerie French,United States of America,George Sherman,Helen Ainsworth,Columbia Pictures,William Lyon,Leo Katcher,Mischa Bakaleinikoff
103883,2 Guns,2013,Denzel Washington,United States of America,Baltasar Kormákur,Randall Emmett,Netflix,Michael Tronick,Blake Masters,Clinton Shorter
103968,And Baby Makes Three,1949,Robert Young,United States of America,Henry Levin,Robert Lord,Columbia Pictures,Viola Lawrence,Lou Breslow,George Duning
103980,Blue Jasmine,2013,Louis C.K.,United States of America,Woody Allen,Letty Aronson,Netflix,Alisa Lepselter,Woody Allen,Christopher Lennertz
103984,The Great Beauty,2013,Carlo Verdone,France,Paolo Sorrentino,Nicola Giuliano,Medusa Film,Cristiano Travaglioli,Paolo Sorrentino,Lele Marchitelli
104,Happy Gilmore,1996,Kevin Nealon,United States of America,Dennis Dugan,Robert Simonds,Universal Pictures,Jeff Gourson,Adam Sandler,Mark Mothersbaugh
104013,Lo chiamavano Bulldozer,1978,Reinhard Kolldehoff,Italy,Michele Lupo,Elio Scardamaglia,MOKÉP,Antonietta Zita,Rainer Brandt,Guido and Maurizio De Angelis
104015,Bomber,1982,Sal Borgese,Italy,Michele Lupo,Elio Scardamaglia,Netflix,Eugenio Alabiso,Marcello Fondato,Guido and Maurizio De Angelis
104074,Percy Jackson & The Olympians - The Sea of Monsters,2013,Sean Bean,United States of America,Thor Freudenthal,Chris Columbus,Netflix,Mark Goldblatt,Marc Guggenheim,Andrew Lockington
104076,The Smurfs 2,2013,Katy Perry,United States of America,Raja Gosnell,Jordan Kerner,Netflix,Sabrina Plisco,Karey Kirkpatrick,Heitor Pereira
104078,Alan Partridge: Alpha Papa,2013,Colm Meaney,United Kingdom,Declan Lowney,Henry Normal,Netflix,Mark Everson,Steve Coogan,Ilan Eshkeri
104085,Class of 1999,1990,Malcolm McDowell,United States of America,Mark L. Lester,Mark L. Lester,Netflix,Scott Conrad,C. Courtney Joyner,Michael Hoenig
1041,Secrets & Lies,1996,Phyllis Logan,United Kingdom,Mike Leigh,Simon Channing-Williams,Film4 Productions,Jon Gregory,Mike Leigh,Andrew Dickson
1042,That Thing You Do!,1996,Tom Hanks,United States of America,Tom Hanks,Jonathan Demme,20th Century Studios,Richard Chew,Tom Hanks,Howard Shore
104233,The Cat and the Canary,1939,Paulette Goddard,United States of America,Elliott Nugent,Arthur Hornblow,Paramount Pictures,Archie Marshek,Walter DeLeon,Ernst Toch
