ID,__name__,released,starring,originating from,directed by,produced by,distributed by,edited by,screenwriter,music by
100397,The ABCs of Death,2012,Ingrid Bolsø Berdal,"United States of America, Japan","Angela Bettis, Noboru Iguchi, Xavier Gens, Jake West, Anders Morgenthaler, Ben Wheatley, Banjong Pisanthanakun, Nacho Vigalondo, Kaare Andrews, Jason Eisener, Thomas Cappelen Malling, Ti West, Yoshihiro Nishimura, Yūdai Yamaguchi, Jon Schnepp, Marcel Sarmiento, Simon Rumley, Adrián García Bogliano, Ernesto Díaz Espinoza, Adam Wingard, Timo Tjahjanto, Lee Hardcastle, Jorge Michel Grau, Hélène Cattet, Bruno Forzani, Andrew Traucki, Simon Barrett, Srđan Spasojević","Simon Boswell, Nacho Vigalondo, Yoshihiro Nishimura, Nahikari Ipiña, Tim League","Netflix, Magnolia Pictures","Takanori Tsujimoto, Yoshihiro Nishimura, Yūdai Yamaguchi, Adrián García Bogliano, Ernesto Díaz Espinoza","Noboru Iguchi, Nacho Vigalondo, Kaare Andrews, Dimitrije Vojnov, Ti West, Yoshihiro Nishimura, Yūdai Yamaguchi, Jon Schnepp, Marcel Sarmiento, Simon Rumley, Adrián García Bogliano, Ernesto Díaz Espinoza, Lee Hardcastle, Hélène Cattet, Bruno Forzani, Simon Barrett, Srđan Spasojević","Simon Boswell, Jammes Luckett, Kevin Riepl, Nobuhiko Morino, Yasuhiko Fukuda"
1004,The Glimmer Man,1996,Brian Cox,United States of America,John Gray,"Steven Seagal, Julius R. Nasso","Warner Bros., Netflix, Vudu",Donn Cambern,Kevin Brodbin,Trevor Rabin
100440,Lore,2012,Ursina Lardi,"United Kingdom, Germany, Australia",Cate Shortland,"Liz Watts, Paul Welsh","Netflix, Mozinet",Veronika Jenet,"Cate Shortland, Rachel Seiffert",Max Richter
100498,A Good Day to Die Hard,2013,Bruce Willis,United States of America,John Moore,Alex Yang,"InterCom, Netflix, Disney+",Dan Zimmerman,Skip Woods,Marco Beltrami
1005,D3: The Mighty Ducks,1996,Steven Brill,United States of America,Robert Lieberman,"Jon Avnet, Jordan Kerner",Walt Disney Studios Motion Pictures,"Patrick Lussier, Colleen Halsey","Steven Brill, Jim Burnstein",J. A. C. Redford
100507,21 & Over,2013,Justin Chon,United States of America,"Scott Moore, Jon Lucas","Ryan Kavanaugh, David Hoberman","Netflix, Big Bang Media, Relativity Media",John Refoua,Jon Lucas,Lyle Workman
100515,War Witch,2012,Rachel Mwanza,Canada,Kim Nguyen,Pierre Even,Netflix,Richard Comeau,Kim Nguyen,Gabriel Yared
100527,Safe Haven,2013,Josh Duhamel,United States of America,Lasse Hallström,Ryan Kavanaugh,"Netflix, Relativity Media, Big Bang Media",Andrew Mondshein,"Leslie Bohem, Dana Stevens",Deborah Lurie
100591,The Mind Reader,1933,Warren William,United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,James Gibbon,Robert Lord,Bernhard Kaun
1006,The Chamber,1996,Faye Dunaway,United States of America,James Foley,"Brian Grazer, Ron Howard","Universal Pictures, Netflix",Mark Warner,"John Grisham, Robert Towne, William Goldman",Carter Burwell
100714,Before Midnight,2013,Ethan Hawke,United States of America,Richard Linklater,"Christos V. Konstantakopoulos, Richard Linklater","ADS Service, Sony Pictures Classics, Netflix",Sandra Adair,"Ethan Hawke, Richard Linklater, Julie Delpy",Graham Reynolds
1008,"Davy Crockett, King of the Wild Frontier",1955,Basil Ruysdael,United States of America,Norman Foster,"Walt Disney, Bill Walsh","Netflix, Walt Disney Studios Motion Pictures, Disney+",Chester Schaeffer,Tom W. Blackburn,George Bruns
1009,Escape to Witch Mountain,1975,Reta Shaw,United States of America,John Hough,"Ron W. Miller, Jerome Courtland","Disney+, Walt Disney Studios Motion Pictures",Robert Stafford,Robert Milton Young,Johnny Mandel
100906,Maniac Cop 2,1990,Danny Trejo,United States of America,William Lustig,Larry Cohen,Artisan Entertainment,David J. Kern,Larry Cohen,Jay Chattaway
1010,The Love Bug,1969,Chick Hearn,United States of America,Robert Stevenson,Bill Walsh,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Cotton Warburton,"Don DaGradi, Bill Walsh",George Bruns
101025,Jack the Giant Slayer,2013,Stanley Tucci,United States of America,Bryan Singer,"David Dobkin, Neal H. Moritz, John Ottman","Warner Bros., InterCom, Netflix",Bob Ducsay,Christopher McQuarrie,John Ottman
101060,The Last Exorcism Part II,2013,Louis Herthum,United States of America,Ed Gass-Donnelly,Eli Roth,CBS Films,Ed Gass-Donnelly,Damien Chazelle,Michael Wandmacher
101064,Verboten!,1959,Paul Busch,United States of America,Samuel Fuller,Samuel Fuller,Columbia Pictures,Philip Cahn,Samuel Fuller,Harry Sukman
101068,The Solitude of Prime Numbers,2010,Isabella Rossellini,"Italy, France, Germany",Saverio Costanzo,Fausto Brizzi,"Netflix, Medusa Film",Francesca Calvelli,"Paolo Giordano, Saverio Costanzo",Mike Patton
101076,G.I. Joe: Retaliation,2013,RZA,United States of America,Jon M. Chu,"Lorenzo di Bonaventura, Brian Goldner","Netflix, UIP-Dunafilm",Roger Barton,"Paul Wernick, Rhett Reese",Henry Jackman
101088,Stoker,2013,Nicole Kidman,"United States of America, United Kingdom",Park Chan-wook,"Tony Scott, Ridley Scott","Netflix, Searchlight Pictures",Nicolas De Toth,"Wentworth Miller, Erin Cressida Wilson",Clint Mansell
1011,Herbie Rides Again,1974,Helen Hayes,United States of America,Robert Stevenson,Bill Walsh,"Disney+, Walt Disney Studios Motion Pictures",Cotton Warburton,Bill Walsh,George Bruns
101112,Oz the Great and Powerful,2013,Rachel Weisz,United States of America,Sam Raimi,Joe Roth,"Netflix, Fórum Hungary, Disney+, Walt Disney Studios Motion Pictures",Bob Murawski,"David Lindsay-Abaire, Mitchell Kapner",Danny Elfman
1012,Old Yeller,1957,Kevin Corcoran,United States of America,Robert Stevenson,Walt Disney,Walt Disney Studios Motion Pictures,Stanley Johnson,"Fred Gipson, William Tunberg",Oliver Wallace
101204,The Hucksters,1947,Douglas Fowley,United States of America,Jack Conway,"Arthur Hornblow, Jr.",Metro-Goldwyn-Mayer,Frank Sullivan,"George Wells, Luther Davis, Edward Chodorov",Lennie Hayton
101207,Emperor,2012,Tommy Lee Jones,"Japan, United States of America",Peter Webber,Yōko Narahashi,"ADS Service, Roadside Attractions",Chris Plummer,David Klass,Alex Heffes
101214,Genghis Khan,1965,Eli Wallach,"United States of America, Germany, United Kingdom, Yugoslavia",Henry Levin,Irving Allen,"Columbia Pictures, Netflix",Geoffrey Foot,Beverley Cross,Dušan Radić
101233,The Glass Menagerie,1950,Jane Wyman,United States of America,Irving Rapper,"Warner Bros., Jerry Wald, Charles K. Feldman",Warner Bros.,David Weisbart,"Tennessee Williams, Peter Berneis",Max Steiner
101235,The Great Gatsby,1949,Macdonald Carey,United States of America,Elliott Nugent,Richard Maibaum,Paramount Pictures,Ellsworth Hoagland,"Richard Maibaum, Cyril Hume",Robert E. Dolan
101247,Westward the Women,1951,Robert Taylor,United States of America,William A. Wellman,Dore Schary,Metro-Goldwyn-Mayer,James E. Newcom,"Frank Capra, Charles Schnee",Jeff Alexander
101262,Geek Charming,2011,Sasha Pieterse,United States of America,Jeffrey Hornaday,Tracey Jeffrey,"Netflix, Disney–ABC Domestic Television, Disney+",David Finfer,"Elizabeth Hackett, Hilary Galanoy",Nathan Wang
101283,The Incredible Burt Wonderstone,2013,Alan Arkin,United States of America,Don Scardino,"Steve Carell, Jake Weiner, Chris Bender, Tyler Mitchell",Warner Bros.,Lee Haxall,"John Francis Daley, Chad Kultgen, Tyler Mitchell, Jonathan Goldstein",Lyle Workman
101287,The Red Spectacles,1987,Hideyo Amamoto,Japan,Mamoru Oshii,Shigeharu Shiba,Omnibus Promotion,Seiji Morita,Mamoru Oshii,Kenji Kawai
101296,I'm So Excited,2013,Penélope Cruz,Spain,Pedro Almodóvar,"Agustín Almodóvar, Esther García","Sony Pictures Classics, Budapest Film",José Salcedo,Pedro Almodóvar,Alberto Iglesias
1013,The Parent Trap,1961,Cathleen Nesbitt,United States of America,David Swift,Walt Disney,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Philip W. Anderson,David Swift,"Paul Smith, Sherman Brothers"
101319,Operation Daybreak,1975,Jaroslav Drbohlav,"United States of America, Yugoslavia, Czechoslovakia",Lewis Gilbert,Carter DeHaven,Warner Bros.,Thelma Connell,Ronald Harwood,David Hentschel
101362,Olympus Has Fallen,2013,Dylan McDermott,United States of America,Antoine Fuqua,Gerard Butler,"FilmDistrict, Netflix, ProVideo",John Refoua,"Creighton Rothenberger, Katrin Benedikt",Trevor Morris
1014,Pollyanna,1960,Karl Malden,United States of America,David Swift,Walt Disney,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Frank Gross,David Swift,Paul Smith
101400,Abraham Lincoln,1930,Frank Campeau,United States of America,D. W. Griffith,Joseph M. Schenck,United Artists Corporation,James Smith,Stephen Vincent Benét,Hugo Riesenfeld
101450,The Kiss,1929,Greta Garbo,United States of America,Jacques Feyder,Irving Thalberg,Metro-Goldwyn-Mayer,Ben Lewis,Hanns Kräly,Rudolf Friml
101485,Upper World,1934,Ginger Rogers,United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,Owen Marks,Ben Hecht,Bernhard Kaun
101498,In the House,2012,Emmanuelle Seigner,France,François Ozon,"Claudie Ossard, Nicolas Altmayer, Éric Altmayer","Vertigo Média, BiM Distribuzione",Laure Gardette,François Ozon,Philippe Rombi
101577,The Host,2013,Frances Fisher,United States of America,Andrew Niccol,"Stephenie Meyer, Nick Wechsler","Netflix, Global Road Entertainment, ProVideo",Thomas J. Nordberg,"Stephenie Meyer, Andrew Niccol",Antonio Pinto
101595,A Breed Apart,1984,Powers Boothe,United States of America,Philippe Mora,John Daly,Hemdale Film Corporation,Chris Lebenzon,Paul Wheeler,Maurice Gibb
1016,The Shaggy Dog,1959,Jean Hagen,United States of America,Charles Barton,"Walt Disney, Bill Walsh","Netflix, Walt Disney Studios Motion Pictures, Disney+",James Ballas,"Bill Walsh, Lillie Hayward",Paul Smith
101627,Confidential Agent,1945,Charles Boyer,United States of America,Herman Shumlin,Robert Buckner,Warner Bros.,George Amy,Robert Buckner,Franz Waxman
101648,The Flat,2011,Yoni Rechter,Israel,Arnon Goldfinger,"Thomas Kufus, Arnon Goldfinger","Hulu, Cirko Film",Tali Helter-Shenkar,Arnon Goldfinger,Yoni Rechter
101653,Magadheera,2009,Kajal Aggarwal,India,S. S. Rajamouli,"B. V. S. N. Prasad, Allu Aravind","Geetha Arts, Netflix",Kotagiri Venkateswara Rao,"S. S. Rajamouli, K. V. Vijayendra Prasad",M. M. Keeravani
101664,Hey Ram,2000,Shah Rukh Khan,India,Kamal Haasan,Kamal Haasan,Netflix,Renu Saluja,Kamal Haasan,Ilaiyaraaja
101666,A Night in Heaven,1983,Andy Garcia,United States of America,John G. Avildsen,Hawk Koch,"Netflix, 20th Century Studios",John G. Avildsen,Joan Tewkesbury,Jan Hammer
101674,The Ghost Galleon,1974,Blanca Estrada,Spain,Amando de Ossorio Rodríguez,José Luis Bermúdez,Netflix,Petra de Nieva,Amando de Ossorio Rodríguez,Antón García Abril
1017,Swiss Family Robinson,1960,Janet Munro,United States of America,Ken Annakin,"Walt Disney, Bill Anderson","Netflix, Walt Disney Studios Motion Pictures, Disney+",Peter Boita,Lowell S. Hawley,"William Alwyn, Terry Gilkyson"
101719,Koi... Mil Gaya,2003,Hrithik Roshan,India,Rakesh Roshan,Rakesh Roshan,"Netflix, Yash Raj Films",Sanjay Sankla,"Sachin Bhowmick, Honey Irani, Rakesh Roshan, Javed Siddiqui, Robin Bhatt",Rajesh Roshan
101739,Evil Dead,2013,Lorenzo Lamas,United States of America,Fede Álvarez,"Bruce Campbell, Sam Raimi, Rob Tapert","Netflix, InterCom",Bryan Shaw,Diablo Cody,Roque Baños
101741,Trance,2013,James McAvoy,United Kingdom,Danny Boyle,"Christian Colson, Danny Boyle","Searchlight Pictures, Netflix, InterCom",Jon Harris,Joe Ahearne,Rick Smith
101747,The War of the Gargantuas,1968,Russ Tamblyn,Japan,Ishirō Honda,Tomoyuki Tanaka,"Netflix, Toho",Ryōhei Fujii,"Ishirō Honda, Takeshi Kimura",Akira Ifukube
1018,That Darn Cat!,1965,Frank Gorshin,United States of America,Robert Stevenson,"Walt Disney, Bill Walsh, Ron W. Miller","Walt Disney Studios Motion Pictures, Disney+",Cotton Warburton,"Bill Walsh, Gordon Gordon, Mildred Nixon Gordon","Sherman Brothers, Robert F. Brunner"
101812,The Mountain,1956,Spencer Tracy,United States of America,Edward Dmytryk,Edward Dmytryk,"Paramount Pictures, Netflix",Frank Bracht,Ranald MacDougall,Daniele Amfitheatrof
101820,The Fighting Prince of Donegal,1966,Maurice Roëves,"United States of America, United Kingdom",Michael O'Herlihy,"Walt Disney, Bill Anderson",Walt Disney Studios Motion Pictures,Peter Boita,Robert Westerby,George Bruns
101827,Don't Make Waves,1967,Claudia Cardinale,United States of America,Alexander Mackendrick,John Calley,Metro-Goldwyn-Mayer,Rita Roland,"Terry Southern, Ira Wallach, Maurice Richlin",Vic Mizzy
101864,Oblivion,2013,Morgan Freeman,United States of America,Joseph Kosinski,"Joseph Kosinski, Peter Chernin","Netflix, Universal Pictures, UIP-Dunafilm",Richard Francis-Bruce,"Michael Arndt, William Monahan, Joseph Kosinski","M83, Joseph Trapanese"
101880,Siberian Education,2013,Stefano Rulli,Italy,Gabriele Salvatores,Riccardo Tozzi,"Netflix, 01 Distribution",Massimo Fiocchi,"Gabriele Salvatores, Nicolai Lilin, Stefano Rulli, Sandro Petraglia",Mauro Pagani
101884,Dark Tide,2012,Ralph Brown,"United States of America, United Kingdom, South Africa, Australia",John Stockwell,Jeanette B. Milio,Netflix,Andrew MacRitchie,"Ronnie Christensen, Amy Sorlie",Mark Sayfritz
101895,42,2013,Rhoda Griffis,United States of America,Brian Helgeland,Thomas Tull,Warner Bros.,"Peter McNulty, Kevin Stitt",Brian Helgeland,Mark Isham
1019,"20,000 Leagues Under the Sea",1954,Kirk Douglas,United States of America,Richard Fleischer,Walt Disney,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Elmo Williams,Earl Felton,"Al Hoffman, Paul Smith"
101942,Love Is All You Need,2012,Sebastian Jessen,"Sweden, Denmark, Italy, Germany, France",Susanne Bier,"Vibeke Windeløv, Sisse Graum Jørgensen","Cirko Film, Teodora Film","Morten Egholm, Pernille Bech Christensen","Susanne Bier, Anders Thomas Jensen",Johan Söderqvist
1020,Cool Runnings,1993,Peter Outerbridge,"Canada, United States of America",Jon Turteltaub,Dawn Steel,"Netflix, Disney+, Walt Disney Studios Motion Pictures",Bruce Green,"Michael Goldberg, Tommy Swerdlow, Lynn Siefert",Hans Zimmer
102033,Pain & Gain,2013,Dwayne Johnson,United States of America,Michael Bay,Michael Bay,"UIP-Dunafilm, Netflix","Tom Muldoon, Joel Negron","Christopher Markus and Stephen McFeely, Christopher Markus, Stephen McFeely",Steve Jablonsky
102047,The Bride Came C.O.D.,1941,Bette Davis,United States of America,William Keighley,Hal B. Wallis,"Warner Bros., Netflix",Thomas Richards,"Philip G. Epstein, Julius J. Epstein",Max Steiner
102088,The Grandmaster,2013,Zhang Ziyi,"People's Republic of China, Hong Kong",Wong Kar-wai,"Wong Kar-wai, Harvey Weinstein","Netflix, BiM Distribuzione, Vertigo Média",William Chang,"Wong Kar-wai, Zou Jingzhi","Shigeru Umebayashi, Nathaniel Mechaly, Stefano Lentini"
1021,Angels in the Outfield,1994,Christopher Lloyd,United States of America,William Dear,"Joe Roth, Roger Birnbaum, Irby Smith","Netflix, Walt Disney Studios Motion Pictures",Bruce Green,Holly Goldberg Sloan,Randy Edelman
102109,Polly of the Circus,1932,Clark Gable,United States of America,Alfred Santell,Marion Davies,Metro-Goldwyn-Mayer,George Hively,Carey Wilson,William Axt
102123,This Is the End,2013,Rihanna,United States of America,"Seth Rogen, Evan Goldberg",Seth Rogen,"Netflix, InterCom",Zene Baker,"Seth Rogen, Evan Goldberg",Henry Jackman
102125,Iron Man 3,2013,Bill Maher,United States of America,Shane Black,Kevin Feige,"Paramount Pictures, Netflix, Disney+",Jeffrey Ford,"Stan Lee, Warren Ellis, Jack Kirby, Shane Black, Drew Pearce, Larry Lieber, Don Heck",Brian Tyler
102131,Valentino,1977,Rudolf Nureyev,"United Kingdom, United States of America",Ken Russell,"Robert Chartoff, Irwin Winkler",United Artists Corporation,Stuart Baird,"Ken Russell, Mardik Martin",Stanley Black
102138,The Black Camel,1931,Bela Lugosi,United States of America,Hamilton MacFadden,Hamilton MacFadden,"Netflix, Fox Film Corporation",Alfred DeGaetano,Dudley Nichols,Samuel Kaylin
102174,Day of the Falcon,2011,Freida Pinto,"Italy, France",Jean-Jacques Annaud,Tarak Ben Ammar,"Hulu, Image Entertainment",Hervé Schneid,"Jean-Jacques Annaud, Menno Meyjes",James Horner
102303,Ovosodo,1997,Nicoletta Braschi,Italy,Paolo Virzì,"Vittorio Cecchi Gori, Rita Rusić",Cecchi Gori Group,Jacopo Quadri,"Paolo Virzì, Furio Scarpelli, Francesco Bruni",Battista Lena
102373,"Tomorrow, the World",1944,Fredric March,United States of America,Leslie Fenton,Lester Cowan,United Artists Corporation,Anne Bauchens,Ring Lardner,Louis Applebaum
1024,The Three Caballeros,1945,Aurora Miranda,United States of America,"Norm Ferguson, Clyde Geronimi, Harold Young, Bill Roberts, Jack Kinney",Walt Disney,RKO Pictures,Donald Halliday,"Bill Peet, Ralph Wright, Elmer Plummer, James Bodrero, Ted Sears, Homer Brightman, William Cottrell, Ernest Terrazas, Roy Williams, Del Connell","Paul Smith, Edward H. Plumb, Charles Wolcott, Dorival Caymmi, Agustín Lara, Ary Barroso, Manuel Esperón, Braguinha, Felipe Gil, Benedito Lacerda"
102407,The Great Gatsby,2013,Amitabh Bachchan,"United States of America, Australia",Baz Luhrmann,"Baz Luhrmann, Catherine Martin, Douglas Wick","InterCom, Netflix",Jason Ballantine,"Baz Luhrmann, Craig Pearce",Craig Armstrong
102445,Star Trek Into Darkness,2013,Bill Hader,United States of America,J. J. Abrams,"J. J. Abrams, Damon Lindelof, Alex Kurtzman, Bryan Burk, Roberto Orci","Paramount Pictures, Netflix, UIP-Dunafilm",Maryann Brandon,"Damon Lindelof, Alex Kurtzman, Roberto Orci",Michael Giacchino
102456,An American Romance,1944,Snub Pollard,United States of America,King Vidor,King Vidor,Loews Cineplex Entertainment,Conrad A. Nervig,"William Ludwig, Herbert Dalmas",Louis Gruenberg
102481,The Internship,2013,Aasif Mandvi,United States of America,Shawn Levy,Vince Vaughn,InterCom,Dean Zimmerman,Vince Vaughn,Christophe Beck
102483,Bliss,2007,Özgü Namal,Turkey,Abdullah Oğuz,Abdullah Oğuz,Netflix,Abdullah Oğuz,"Zülfü Livaneli, Sırrı Süreyya Önder, Abdullah Oğuz, Kubilay Tunçer",Zülfü Livaneli
102535,Sissi – The Young Empress,1956,Josef Meinrad,Austria,Ernst Marischka,"Ernst Marischka, Karl Ehrlich, Alexander Sawczynski",Netflix,Alfred Srp,Ernst Marischka,Anton Profes
1026,So Dear to My Heart,1949,Burl Ives,United States of America,"Hamilton Luske, Harold D. Schuster",Walt Disney,RKO Pictures,"Lloyd Richardson, Thomas Scott",John Tucker Battle,"Don Raye, Mel Tormé, Gene de Paul, Paul Smith, Robert Wells, Eliot Daniel, Irving Taylor"
102684,Only God Forgives,2013,Ryan Gosling,"United States of America, Sweden, Denmark, France, Thailand",Nicolas Winding Refn,Lene Børglum,"The Weinstein Company, Vertigo Média",Matthew Newman,Nicolas Winding Refn,Cliff Martinez
102686,The Hangover Part III,2013,Justin Bartha,United States of America,Todd Phillips,"Todd Phillips, Daniel Goldberg","Warner Bros., Netflix, InterCom",Debra Neil-Fisher,"Todd Phillips, Craig Mazin",Christophe Beck
1027,Robin Hood: Prince of Thieves,1991,Sean Connery,"United States of America, United Kingdom",Kevin Reynolds,"Kevin Costner, Pen Densham","Netflix, InterCom",Peter Boyle,Pen Densham,Michael Kamen
102747,The Rink,1916,Charlie Chaplin,United States of America,Charlie Chaplin,Charlie Chaplin,Mutual Film,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin
1028,Mary Poppins,1964,Glynis Johns,United States of America,Robert Stevenson,"Walt Disney, Bill Walsh","Microsoft Store, Walt Disney Studios Motion Pictures, Netflix, Disney+",Cotton Warburton,"Bill Walsh, Don DaGradi","Irwin Kostal, Sherman Brothers, Robert B. Sherman, Richard Sherman"
102819,Behind the Candelabra,2013,Michael Douglas,United States of America,Steven Soderbergh,"Gregory Jacobs, Michael Polaire, Susan Ekins","HBO, Netflix, Budapest Film",Steven Soderbergh,Richard LaGravenese,Marvin Hamlisch
102856,3096 Days,2013,Trine Dyrholm,Germany,Sherry Hormann,Martin Moszkowicz,Paris Filmes,Mona Bräuer,"Bernd Eichinger, Natascha Kampusch, Ruth Toma",Martin Todsharow
102880,After Earth,2013,Will Smith,United States of America,M. Night Shyamalan,"Will Smith, Jada Pinkett Smith, James Lassiter, Caleeb Pinkett","Columbia Pictures, Netflix, Sony Pictures, InterCom",Steven Rosenblum,"M. Night Shyamalan, Gary Whitta",James Newton Howard
102903,Now You See Me,2013,Morgan Freeman,"United States of America, France",Louis Leterrier,"Alex Kurtzman, Roberto Orci, Bobby Cohen","Netflix, Summit Entertainment, ProVideo","Robert Leighton, Vincent Tabaillon","Ed Solomon, Boaz Yakin, Edward Ricourt",Brian Tyler
102947,A Walk with Love and Death,1969,Michael Gough,United States of America,John Huston,Carter DeHaven,20th Century Studios,Russell Lloyd,Dale Wasserman,Georges Delerue
102965,Attack on the Iron Coast,1968,Walter Gotell,"United States of America, United Kingdom",Paul Wendkos,John C. Champion,"Netflix, United Artists Corporation",Ernest Hosler,Herman Hoffman,Gerard Schurmann
102993,"The Way, Way Back",2013,AnnaSophia Robb,United States of America,"Nat Faxon, Jim Rash",Tom Rice,"Netflix, InterCom",Tatiana S. Riegel,"Nat Faxon, Jim Rash",Rob Simonsen
103006,Penthouse,1933,Myrna Loy,United States of America,W. S. Van Dyke,Hunt Stromberg,Metro-Goldwyn-Mayer,Robert J. Kern,"Ayn Rand, Frances Goodrich, Albert Hackett",William Axt
103017,The Body,2012,Belén Rueda,Spain,Oriol Paulo,"Mikel Lejarza Ortiz, Mar Targarona, Mercedes Gamero",Roadside Attractions,Joan Manel Vilaseca,Oriol Paulo,Sergio Moure de Oteyza
103027,Much Ado About Nothing,2012,Clark Gregg,United States of America,Joss Whedon,Joss Whedon,Netflix,Joss Whedon,Joss Whedon,Joss Whedon
103030,Any Day Now,2012,Frances Fisher,United States of America,Travis Fine,Chip Hourihan,Music Box Films,Tom Cross,Travis Fine,Joey Newman
103042,Man of Steel,2013,Kevin Costner,"United States of America, United Kingdom",Zack Snyder,"Christopher Nolan, Emma Thomas, Deborah Snyder, Charles Roven","Warner Bros., Netflix, InterCom",David Brenner,"Christopher Nolan, David S. Goyer",Hans Zimmer
103083,The Reluctant Fundamentalist,2012,Nelsan Ellis,"United States of America, Italy, United Kingdom, Qatar",Mira Nair,Lydia Dean Pilcher,"Netflix, Hulu, IFC Films",Shimit Amin,"Mohsin Hamid, William Wheeler",Michael Andrews
1031,Bedknobs and Broomsticks,1971,Roddy McDowall,"United States of America, United Kingdom",Robert Stevenson,Bill Walsh,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Cotton Warburton,"Bill Walsh, Don DaGradi",Irwin Kostal
103105,Tetsuo: The Bullet Man,2009,Shinya Tsukamoto,Japan,Shinya Tsukamoto,Shinya Tsukamoto,"Netflix, Hulu",Shinya Tsukamoto,Shinya Tsukamoto,Chu Ishikawa
