mlId,movieLabel,year,cast member,country of origin,director,producer,distributed by,film editor,screenwriter,composer
100229,The Psychopath,1966.0,"Peter Diamond, Alexander Knox, John Standing, Patrick Wymark, Colin Gordon, John Harvey, Thorley Walters",United Kingdom,Freddie Francis,Max Rosenberg,Paramount Pictures,Oswald Hafenrichter,"Robert Bloch, Freddie Francis",Elisabeth Lutyens
100232,"Not with My Wife, You Don't!",1966.0,"Virna Lisi, George C. Scott, Tony Curtis, Ann Doran, Eddie Ryder, Richard Eastham, Carroll O'Connor, Buck Young, Natalie Core",United States of America,Norman Panama,Norman Panama,"Warner Bros., Netflix",Aaron Stell,Peter Barnes,John Williams
100244,The East,2013.0,"Elliot Page, Patricia Clarkson, Julia Ormond, Alexander Skarsgård, Brit Marling, Shiloh Fernandez, Toby Kebbell, Billy Magnussen, Aldis Hodge, Danielle Macdonald","United States of America, United Kingdom",Zal Batmanglij,"Ridley Scott, Brit Marling, Scott Free Productions, Michael Costigan","Searchlight Pictures, Netflix","Andrew Weisblum, Bill Pankow","Brit Marling, Zal Batmanglij",Halli Cauthery
100255,Confessions of a Driving Instructor,1976.0,"Tony Booth, Robin Askwith",United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100257,Confessions from a Holiday Camp,1977.0,"Robin Askwith, Doris Hare, Bill Maynard, Tony Booth, Sheila White",United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100383,Side Effects,2013.0,"Catherine Zeta-Jones, Mamie Gummer, Vinessa Shaw, Victor Cruz, Channing Tatum, Jude Law, Rooney Mara, Devin Ratray, Peter Friedman, Steve Lacy, Ann Dowd, David Costabile, Laila Robins, Josh Elliot",United States of America,Steven Soderbergh,"Lorenzo di Bonaventura, Scott Z. Burns, Gregory Jacobs","Global Road Entertainment, Netflix, ProVideo, ARP Sélection",Steven Soderbergh,Scott Z. Burns,Thomas Newman
100387,Kadal,2013.0,Gautham Karthik,India,Mani Ratnam,"Mani Ratnam, Suhasini Maniratnam",Gemini Film Circuit,A. Sreekar Prasad,"Mani Ratnam, Jeyamohan",A. R. Rahman
100390,Identity Thief,2013.0,"Carlos Navarro, Jon Favreau, Cullen Moss, Kevin Covais, John Cho, Mary-Charles Jones, Jason Bateman, Morris Chestnut, Eric Stonestreet, Clark Duke, Ben Falcone, Maggie Elizabeth Jones, Ellie Kemper, Amanda Peet, Jonathan Banks, T.I., Melissa McCarthy, Genesis Rodriguez, Robert Patrick",United States of America,Seth Gordon,"Scott Stuber, Jason Bateman","Netflix, Universal Pictures, UIP-Dunafilm",Peter Teschner,Craig Mazin,Christopher Lennertz
100397,The ABCs of Death,2012.0,"Ingrid Bolsø Berdal, Demo Tanaka, Takashi Nishina, Kyra Zagorsky","United States of America, Japan","Angela Bettis, Noboru Iguchi, Xavier Gens, Jake West, Anders Morgenthaler, Ben Wheatley, Banjong Pisanthanakun, Nacho Vigalondo, Kaare Andrews, Jason Eisener, Thomas Cappelen Malling, Ti West, Yoshihiro Nishimura, Yūdai Yamaguchi, Jon Schnepp, Marcel Sarmiento, Simon Rumley, Adrián García Bogliano, Ernesto Díaz Espinoza, Adam Wingard, Timo Tjahjanto, Lee Hardcastle, Jorge Michel Grau, Hélène Cattet, Bruno Forzani, Andrew Traucki, Simon Barrett, Srđan Spasojević","Simon Boswell, Nacho Vigalondo, Yoshihiro Nishimura, Nahikari Ipiña, Tim League","Netflix, Magnolia Pictures","Takanori Tsujimoto, Yoshihiro Nishimura, Yūdai Yamaguchi, Adrián García Bogliano, Ernesto Díaz Espinoza","Noboru Iguchi, Nacho Vigalondo, Kaare Andrews, Dimitrije Vojnov, Ti West, Yoshihiro Nishimura, Yūdai Yamaguchi, Jon Schnepp, Marcel Sarmiento, Simon Rumley, Adrián García Bogliano, Ernesto Díaz Espinoza, Lee Hardcastle, Hélène Cattet, Bruno Forzani, Simon Barrett, Srđan Spasojević","Simon Boswell, Jammes Luckett, Kevin Riepl, Nobuhiko Morino, Yasuhiko Fukuda"
1004,The Glimmer Man,1996.0,"Brian Cox, Michelle Johnson, Keenen Ivory Wayans, Alexa PenaVega, Bob Gunton, Steven Seagal, Kyle MacLachlan, Nikki Cox, Stephen Tobolowsky, Richard Gant, Wendy Robie, John M. Jackson, Johnny Strong",United States of America,John Gray,"Steven Seagal, Julius R. Nasso","Warner Bros., Netflix, Vudu",Donn Cambern,Kevin Brodbin,Trevor Rabin
100440,Lore,2012.0,"Ursina Lardi, Franziska Traub, Hanne Wolharn, Philip Wiegratz, Eva-Maria Hagen, Wanda Perdelwitz, Antonia Cäcilia Holfelder, Fabian Stumm, Sven Pippig, Claudia Geisler-Bading, Hans-Jochen Wagner, Saskia Rosendahl, Hendrik Arnst, Kai Malina, Katharina Spiering, Jan Peter Heyne, Lucas Reiber, Birte Schnöink, Katrin Pollitt, Nele Trebs, Pit Bukowski","United Kingdom, Germany, Australia",Cate Shortland,"Liz Watts, Paul Welsh","Netflix, Mozinet",Veronika Jenet,"Cate Shortland, Rachel Seiffert",Max Richter
100498,A Good Day to Die Hard,2013.0,"Bruce Willis, Sebastian Koch, Amaury Nolasco, Aksel Hennie, Mary Elizabeth Winstead, Megalyn Echikunwoke, Pavel Lychnikoff, Mike Dopud, Iván Kamarás, April Grace, Aldis Hodge, Cole Hauser, Jai Courtney, Attila Árpa, Yuliya Snigir, Anne Vyalitsyna, Ján Gallovič, Rasha Bukvic, Scott Michael Campbell, Sergey Kolesnikov, Roman Luknár",United States of America,John Moore,Alex Yang,"InterCom, Netflix, Disney+",Dan Zimmerman,Skip Woods,Marco Beltrami
1005,D3: The Mighty Ducks,1996.0,"Steven Brill, Joshua Jackson, Emilio Estevez, Joss Ackland, Marguerite Moreau, Michael Cudlitz, Colombe Jacobsen, Elden Henson, Benjamin Salisbury, Aaron Lohr, Justin Wong, Garette Ratliff Henson, Kenan Thompson, Heidi Kling, Matt Doherty, David Selby, Shaun Weiss, Jeffrey Nordling, Christopher Orr, Margot Finley",United States of America,Robert Lieberman,"Jon Avnet, Jordan Kerner",Walt Disney Studios Motion Pictures,"Patrick Lussier, Colleen Halsey","Steven Brill, Jim Burnstein",J. A. C. Redford
100507,21 & Over,2013.0,"Justin Chon, Miles Teller, Sarah Wright, François Chau, Samantha Futerman, Skylar Astin, Josie Loren, Jonathan Keltz",United States of America,"Scott Moore, Jon Lucas","Ryan Kavanaugh, David Hoberman","Netflix, Big Bang Media, Relativity Media",John Refoua,Jon Lucas,Lyle Workman
100515,War Witch,2012.0,Rachel Mwanza,Canada,Kim Nguyen,Pierre Even,Netflix,Richard Comeau,Kim Nguyen,Gabriel Yared
100527,Safe Haven,2013.0,"Josh Duhamel, Cobie Smulders, Julianne Hough, David Lyons, Red West, Mike Pniewski, Robin Mullins, Ric Reitz, Cullen Moss, Noah Lomax",United States of America,Lasse Hallström,Ryan Kavanaugh,"Netflix, Relativity Media, Big Bang Media",Andrew Mondshein,"Leslie Bohem, Dana Stevens",Deborah Lurie
100591,The Mind Reader,1933.0,Warren William,United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,James Gibbon,Robert Lord,Bernhard Kaun
1006,The Chamber,1996.0,"Faye Dunaway, Millie Perkins, Chris O'Donnell, David Marshall Grant, Robert Prosky, Gene Hackman, Bo Jackson, Lela Rochon, Raymond J. Barry, Harve Presnell, Jack Conley, Jane Kaczmarek, Richard Bradford, Josef Sommer, Nicholas Pryor",United States of America,James Foley,"Brian Grazer, Ron Howard","Universal Pictures, Netflix",Mark Warner,"John Grisham, Robert Towne, William Goldman",Carter Burwell
100714,Before Midnight,2013.0,"Ethan Hawke, Athina Rachel Tsangari, Julie Delpy, Seamus Davey-Fitzpatrick, Ariane Labed, Walter Lassally",United States of America,Richard Linklater,"Christos V. Konstantakopoulos, Richard Linklater","ADS Service, Sony Pictures Classics, Netflix",Sandra Adair,"Ethan Hawke, Richard Linklater, Julie Delpy",Graham Reynolds
1008,"Davy Crockett, King of the Wild Frontier",1955.0,"Basil Ruysdael, Fess Parker, Kenneth Tobey, Don Megowan, Nick Cravat, William Bakewell, Mike Mazurki, Buddy Ebsen, Helene Stanley, Jeff Thompson, Henry Joyner, Hal Youngblood, Hans Conried, Benjamin Hornbuckle, Campbell Brown, Ray Whitetree, Eugene Brindel, Robert Booth, Jim Maddux, Pat Hogan",United States of America,Norman Foster,"Walt Disney, Bill Walsh","Netflix, Walt Disney Studios Motion Pictures, Disney+",Chester Schaeffer,Tom W. Blackburn,George Bruns
1009,Escape to Witch Mountain,1975.0,"Reta Shaw, Donald Pleasence, Denver Pyle, Ray Milland, Lawrence Montaigne, Eddie Albert, Kyle Richards, George Chandler, Harry Holcombe, Ike Eisenmann, Kim Richards, Sam Edwards, Terry Wilson, Dan Seymour, Don Brodie, Alfred Ryder, Rex Holman, Dermott Downs",United States of America,John Hough,"Ron W. Miller, Jerome Courtland","Disney+, Walt Disney Studios Motion Pictures",Robert Stafford,Robert Milton Young,Johnny Mandel
100906,Maniac Cop 2,1990.0,"Danny Trejo, Charles Napier, Claudia Christian, Paula Trickey, Robert Davi, Sam Raimi, Bruce Campbell, Clarence Williams III, Michael Lerner, Robert Z'Dar, Leo Rossi, Laurene Landon, Robert Earl Jones",United States of America,William Lustig,Larry Cohen,Artisan Entertainment,David J. Kern,Larry Cohen,Jay Chattaway
1010,The Love Bug,1969.0,"Chick Hearn, Michele Lee, Bing Russell, Dean Jones, Iris Adrian, Larry J. Blake, Dick Warlock, Ben Frommer, David Tomlinson, Joe E. Ross, Buddy Hackett, Ned Glass, Wally Boag, Peter Renaday, Robert Foulk, Benson Fong, Gary Owens, Andy Granatelli, Jock Mahoney, Pedro González González, Barry Kelley, Joe Flynn",United States of America,Robert Stevenson,Bill Walsh,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Cotton Warburton,"Don DaGradi, Bill Walsh",George Bruns
101025,Jack the Giant Slayer,2013.0,"Stanley Tucci, Eddie Marsan, Ian McShane, Ewan McGregor, Ben Daniels, Peter Elliott, Bill Nighy, Isabelle Fuhrman, Warwick Davis, Nicholas Hoult, Ralph Brown, Christopher Fairbank, Aaron Jackson, Eleanor Tomlinson, John Kassir, Steven Williams, Ewen Bremner, Angus Barnett, Philip Philmar",United States of America,Bryan Singer,"David Dobkin, Neal H. Moritz, John Ottman","Warner Bros., InterCom, Netflix",Bob Ducsay,Christopher McQuarrie,John Ottman
101060,The Last Exorcism Part II,2013.0,"Louis Herthum, Julia Garner, E. Roger Mitchell, Joe Chrest, Muse Watson, Spencer Treat Clark, David Jensen, Ashley Bell",United States of America,Ed Gass-Donnelly,Eli Roth,CBS Films,Ed Gass-Donnelly,Damien Chazelle,Michael Wandmacher
101064,Verboten!,1959.0,"Paul Busch, Steven Geray, Susan Cummings, James Best",United States of America,Samuel Fuller,Samuel Fuller,Columbia Pictures,Philip Cahn,Samuel Fuller,Harry Sukman
101068,The Solitude of Prime Numbers,2010.0,"Isabella Rossellini, Alba Rohrwacher, Filippo Timi, Luca Marinelli, Maurizio Donadoni, Andrea Jublin, Aurora Ruffino, Tommaso Neri, Roberto Sbaratto, Tatiana Lepore","Italy, France, Germany",Saverio Costanzo,Fausto Brizzi,"Netflix, Medusa Film",Francesca Calvelli,"Paolo Giordano, Saverio Costanzo",Mike Patton
101076,G.I. Joe: Retaliation,2013.0,"RZA, Bruce Willis, Dwayne Johnson, Skai Jackson, Arnold Vosloo, Channing Tatum, Lee Byung-hun, Jonathan Pryce, Joseph Mazzello, Walton Goggins, Ray Stevenson, Élodie Yung, Robert Baker, Adrianne Palicki, Ray Park, Matt Gerald, Marcelo Tubert, D. J. Cotrona, Luke Bracey, Douglas M. Griffin",United States of America,Jon M. Chu,"Lorenzo di Bonaventura, Brian Goldner","Netflix, UIP-Dunafilm",Roger Barton,"Paul Wernick, Rhett Reese",Henry Jackman
101088,Stoker,2013.0,"Nicole Kidman, Ralph Brown, Harmony Korine, Mia Wasikowska, Jacki Weaver, Judith Godrèche, Alden Ehrenreich, Lucas Till, Matthew Goode, Dermot Mulroney, Phyllis Somerville","United States of America, United Kingdom",Park Chan-wook,"Tony Scott, Ridley Scott","Netflix, Searchlight Pictures",Nicolas De Toth,"Wentworth Miller, Erin Cressida Wilson",Clint Mansell
1011,Herbie Rides Again,1974.0,"Helen Hayes, Fritz Feld, Stefanie Powers, Raymond Bailey, Karl Lukas, John Zaremba, Ken Berry, Edward Ashley-Cooper, Vito Scotti, Alvy Moore, Chuck McCann, Keenan Wynn, Don Pedro Colley, John McIntire, Hal Williams, Huntz Hall, Larry J. Blake, Maurice Marsac, Burton Hill Mustin, Ignatius Wolfington, Ivor Barry, John Hubbard, John Stephenson, Liam Dunn, Alan Carney, Arthur Space, Dan Tobin, Elaine Devry",United States of America,Robert Stevenson,Bill Walsh,"Disney+, Walt Disney Studios Motion Pictures",Cotton Warburton,Bill Walsh,George Bruns
101112,Oz the Great and Powerful,2013.0,"Rachel Weisz, Joey King, Zach Braff, Martin Klebba, Mila Kunis, Michelle Williams, Ted Raimi, Tony Cox, Bill Cobbs, Stephen Hart, James Franco, Robert Stromberg, Bruce Campbell, Tim Holmes, Abigail Spencer, Gene Jones",United States of America,Sam Raimi,Joe Roth,"Netflix, Fórum Hungary, Disney+, Walt Disney Studios Motion Pictures",Bob Murawski,"David Lindsay-Abaire, Mitchell Kapner",Danny Elfman
1012,Old Yeller,1957.0,"Kevin Corcoran, Fess Parker, Chuck Connors, Jerome Courtland, Dorothy McGuire, Beverly Washburn, Jeff York, Tommy Kirk, Spike",United States of America,Robert Stevenson,Walt Disney,Walt Disney Studios Motion Pictures,Stanley Johnson,"Fred Gipson, William Tunberg",Oliver Wallace
101204,The Hucksters,1947.0,"Douglas Fowley, Fred Sherman, Kathryn Card, Deborah Kerr, Gloria Holden, Keenan Wynn, Clark Gable, John McIntire, George O'Hanlon, Sam Ash, Ava Gardner, Lillian Randolph, Adolphe Menjou, Connie Gilchrist, Edward Arnold, Marie Windsor, Sydney Greenstreet, Clinton Sundberg, Frank Albertson, Jimmy Conlin, Richard Gaines, Robert Emmett O'Connor, Aubrey Mather, Theodore von Eltz, Chief Yowlachie",United States of America,Jack Conway,"Arthur Hornblow, Jr.",Metro-Goldwyn-Mayer,Frank Sullivan,"George Wells, Luther Davis, Edward Chodorov",Lennie Hayton
101207,Emperor,2012.0,"Tommy Lee Jones, Matthew Fox, Aaron Jackson, Kaori Momoi, Masatoshi Nakamura, Masatō Ibu, Toshiyuki Nishida, Isao Natsuyagi, Masayoshi Haneda, Eriko Hatsune","Japan, United States of America",Peter Webber,Yōko Narahashi,"ADS Service, Roadside Attractions",Chris Plummer,David Klass,Alex Heffes
101214,Genghis Khan,1965.0,"Eli Wallach, James Mason, Omar Sharif, Telly Savalas, Kenneth Cope, Yvonne Mitchell, Françoise Dorléac, Michael Hordern, Robert Morley, Patrick Holt, Stephen Boyd, Woody Strode","United States of America, Germany, United Kingdom, Yugoslavia",Henry Levin,Irving Allen,"Columbia Pictures, Netflix",Geoffrey Foot,Beverley Cross,Dušan Radić
101233,The Glass Menagerie,1950.0,"Jane Wyman, Arthur Kennedy, Kirk Douglas, Sean McClory, Ralph Sanford, Gertrude Lawrence, Sarah Edwards, Louise Lorimer",United States of America,Irving Rapper,"Warner Bros., Jerry Wald, Charles K. Feldman",Warner Bros.,David Weisbart,"Tennessee Williams, Peter Berneis",Max Steiner
101235,The Great Gatsby,1949.0,"Macdonald Carey, Ed Begley, Alan Ladd, Barry Sullivan, Shelley Winters, Betty Field, Ruth Hussey, Elisha Cook Jr., Henry Hull, Howard Da Silva, Tito Vuolo, Ray Walker, Nicholas Joy",United States of America,Elliott Nugent,Richard Maibaum,Paramount Pictures,Ellsworth Hoagland,"Richard Maibaum, Cyril Hume",Robert E. Dolan
101247,Westward the Women,1951.0,"Robert Taylor, Denise Darcel, Hope Emerson, Mary Murphy, Julie Bishop, John McIntire, Kathleen O'Malley, Chubby Johnson, Terry Wilson, Renata Vanni, Claire Carleton, Ted Adams",United States of America,William A. Wellman,Dore Schary,Metro-Goldwyn-Mayer,James E. Newcom,"Frank Capra, Charles Schnee",Jeff Alexander
101262,Geek Charming,2011.0,"Sasha Pieterse, Vanessa Morgan, Sarah Hyland, Kacey Rohl, Jordan Nichols, Andrew Airlie, Brent Chapman, Brenda Crichlow, Lili Simmons, Matt Prokop, Aaron Miko, Erica Van Briel, David Del Rio, Andrea Brooks, Kerry James, Aliza Vellani, Jimmy Bellinger, Lilli Birdsell, David Milchard, Nina Kiri, Olivia Ryan Stern, Kathryn Kirkpatrick, Sean Mahaffey, Keith Dallas, Ian Brown, Taurean Mills",United States of America,Jeffrey Hornaday,Tracey Jeffrey,"Netflix, Disney–ABC Domestic Television, Disney+",David Finfer,"Elizabeth Hackett, Hilary Galanoy",Nathan Wang
101283,The Incredible Burt Wonderstone,2013.0,"Alan Arkin, Reese Witherspoon, Jim Carrey, Steve Buscemi, James Gandolfini, Gillian Jacobs, Olivia Wilde, Brad Garrett, David Copperfield, Jay Mohr, Fiona Hale",United States of America,Don Scardino,"Steve Carell, Jake Weiner, Chris Bender, Tyler Mitchell",Warner Bros.,Lee Haxall,"John Francis Daley, Chad Kultgen, Tyler Mitchell, Jonathan Goldstein",Lyle Workman
101287,The Red Spectacles,1987.0,"Hideyo Amamoto, Machiko Washio, Hideyuki Tanaka, Shigeru Chiba, Tesshō Genda, Ichirō Nagai, Mako Hyōdō",Japan,Mamoru Oshii,Shigeharu Shiba,Omnibus Promotion,Seiji Morita,Mamoru Oshii,Kenji Kawai
101296,I'm So Excited,2013.0,"Penélope Cruz, Antonio Banderas, Paz Vega, Cecilia Roth, Carmen Machi, Lola Dueñas, Agustín Almodóvar, Guillermo Toledo, Javier Cámara, Hugo Silva, Raúl Arévalo, Blanca Suárez, Nasser Saleh, Carlos Areces Maqueda, Antonio de la Torre, La Terremoto de Alcorcón, Miguel Ángel Silvestre, José María Yazpik, Susi Sánchez, Bárbara Santa-Cruz",Spain,Pedro Almodóvar,"Agustín Almodóvar, Esther García","Sony Pictures Classics, Budapest Film",José Salcedo,Pedro Almodóvar,Alberto Iglesias
1013,The Parent Trap,1961.0,"Cathleen Nesbitt, Una Merkel, Frank De Vol, Brian Keith, Maureen O'Hara, Hayley Mills, John Mills, Ruth McDevitt, Nancy Kulp, Leo G. Carroll, Charles Ruggles, Crahan Denton, Joanna Barnes, Linda Watkins",United States of America,David Swift,Walt Disney,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Philip W. Anderson,David Swift,"Paul Smith, Sherman Brothers"
101319,Operation Daybreak,1975.0,"Jaroslav Drbohlav, Joss Ackland, George Sewell, Vernon Dobtcheff, Nigel Stock, Anthony Andrews, Philip Madoc, Neil McCarthy, Anton Diffring, Reinhard Kolldehoff, Vítězslav Jandák, Kika Markham, Timothy Bottoms, Martin Shaw, Josef Abrhám, Josef Laufer, Ray Smith, Cyril Shaps, Diana Coupland, Nicola Pagett, Jiří Krampol, William Lucas, Carl Duering, Frank Gatliff, Aubrey Woods, Jan Kuželka","United States of America, Yugoslavia, Czechoslovakia",Lewis Gilbert,Carter DeHaven,Warner Bros.,Thelma Connell,Ronald Harwood,David Hentschel
101362,Olympus Has Fallen,2013.0,"Dylan McDermott, Morgan Freeman, Gerard Butler, Melissa Leo, Aaron Eckhart, Ashley Judd, Radha Mitchell, Angela Bassett, Robert Forster, Cole Hauser, Rick Yune, Tory Kittles",United States of America,Antoine Fuqua,Gerard Butler,"FilmDistrict, Netflix, ProVideo",John Refoua,"Creighton Rothenberger, Katrin Benedikt",Trevor Morris
1014,Pollyanna,1960.0,"Karl Malden, Jane Wyman, Hayley Mills, Agnes Moorehead, Nancy Olson, Anne Seymour, Ian Wolfe, Adolphe Menjou, Donald Crisp, Reta Shaw, James Drury, Kevin Corcoran, Richard Egan, Edward Platt, Leora Dana, Paul Frees, Edgar Dearing, Gage Clarke, Harry Harvey, Jenny Egan, Nolan Leary, William Newell, Mary Grace Canfield",United States of America,David Swift,Walt Disney,"Netflix, Walt Disney Studios Motion Pictures, Disney+",Frank Gross,David Swift,Paul Smith
101400,Abraham Lincoln,1930.0,"Frank Campeau, Walter Huston, Una Merkel, Lucille La Verne, Mary Forbes, Russell Simpson, Ian Keith, Henry Brazeale Walthall, Ralph Lewis, E. Alyn Warren, Edgar Dearing, Helen Freeman Corle, Francis Ford, Hobart Bosworth, Oscar Apfel, William L. Thorne, Henry Kolker, Ed Brady, Kay Hammond, Otto Hoffman, Jason Robards, Helen Ware",United States of America,D. W. Griffith,Joseph M. Schenck,United Artists Corporation,James Smith,Stephen Vincent Benét,Hugo Riesenfeld
101450,The Kiss,1929.0,"Greta Garbo, Lew Ayres, Holmes Herbert, Anders Randolf, Conrad Nagel",United States of America,Jacques Feyder,Irving Thalberg,Metro-Goldwyn-Mayer,Ben Lewis,Hanns Kräly,Rudolf Friml
101485,Upper World,1934.0,"Ginger Rogers, Mary Astor, Warren William, Theodore Newton",United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,Owen Marks,Ben Hecht,Bernhard Kaun
101498,In the House,2012.0,"Emmanuelle Seigner, Yolande Moreau, Kristin Scott Thomas, Fabrice Luchini, Denis Ménochet, Michèle Raingeval, Mehdi Meskar, Ernst Umhauer, Jean-François Balmer, Vincent Schmitt, Bastien Ughetto, Catherine Davenier",France,François Ozon,"Claudie Ossard, Nicolas Altmayer, Éric Altmayer","Vertigo Média, BiM Distribuzione",Laure Gardette,François Ozon,Philippe Rombi
101577,The Host,2013.0,"Frances Fisher, William Hurt, Diane Kruger, Emily Browning, Chandler Canterbury, Jake Abel, Max Irons, Saoirse Ronan, Boyd Holbrook, Rachel Roberts, Bokeem Woodbine, Alex Russell, J. D. Evermore",United States of America,Andrew Niccol,"Stephenie Meyer, Nick Wechsler","Netflix, Global Road Entertainment, ProVideo",Thomas J. Nordberg,"Stephenie Meyer, Andrew Niccol",Antonio Pinto
