ID	__name__	released	starring	originating from	directed by	produced by	distributed by	edited by	screenwriter	music by	probes_0	probes_1
100171	Angélique, Marquise des Anges	1964	Jean Rochefort	Spain	Bernard Borderie	Raymond Borderie	Netflix	Christian Gaudin	Anne Golon	Michel Magne	Angélique, Marquise des Anges is a movie, of the genre <mask>.	Angélique, Marquise des Anges is a movie, released 1964, of the genre <mask>.
100229	The Psychopath	1966	Peter Diamond	United Kingdom	Freddie Francis	Max Rosenberg	Paramount Pictures	Oswald Hafenrichter	Robert Bloch	Elisabeth Lutyens	The Psychopath is a movie, of the genre <mask>.	The Psychopath is a movie, released 1966, of the genre <mask>.
100232	Not with My Wife, You Don't!	1966	Virna Lisi	United States of America	Norman Panama	Norman Panama	Warner Bros.	Aaron Stell	Peter Barnes	John Williams	Not with My Wife, You Don't! is a movie, of the genre <mask>.	Not with My Wife, You Don't! is a movie, released 1966, of the genre <mask>.
100244	The East	2013	Elliot Page	United States of America	Zal Batmanglij	Ridley Scott	Searchlight Pictures	Andrew Weisblum	Brit Marling	Halli Cauthery	The East is a movie, of the genre <mask>.	The East is a movie, released 2013, of the genre <mask>.
100255	Confessions of a Driving Instructor	1976	Tony Booth	United Kingdom	Norman Cohen	Michael Klinger	Columbia Pictures	Geoffrey Foot	Christopher Wood	Ed Welch	Confessions of a Driving Instructor is a movie, of the genre <mask>.	Confessions of a Driving Instructor is a movie, released 1976, of the genre <mask>.
100257	Confessions from a Holiday Camp	1977	Robin Askwith	United Kingdom	Norman Cohen	Michael Klinger	Columbia Pictures	Geoffrey Foot	Christopher Wood	Ed Welch	Confessions from a Holiday Camp is a movie, of the genre <mask>.	Confessions from a Holiday Camp is a movie, released 1977, of the genre <mask>.
100383	Side Effects	2013	Catherine Zeta-Jones	United States of America	Steven Soderbergh	Lorenzo di Bonaventura	Global Road Entertainment	Steven Soderbergh	Scott Z. Burns	Thomas Newman	Side Effects is a movie, of the genre <mask>.	Side Effects is a movie, released 2013, of the genre <mask>.
100387	Kadal	2013	Gautham Karthik	India	Mani Ratnam	Mani Ratnam	Gemini Film Circuit	A. Sreekar Prasad	Mani Ratnam	A. R. Rahman	Kadal is a movie, of the genre <mask>.	Kadal is a movie, released 2013, of the genre <mask>.
100390	Identity Thief	2013	Carlos Navarro	United States of America	Seth Gordon	Scott Stuber	Netflix	Peter Teschner	Craig Mazin	Christopher Lennertz	Identity Thief is a movie, of the genre <mask>.	Identity Thief is a movie, released 2013, of the genre <mask>.
100397	The ABCs of Death	2012	Ingrid Bolsø Berdal	United States of America	Angela Bettis	Simon Boswell	Netflix	Takanori Tsujimoto	Noboru Iguchi	Simon Boswell	The ABCs of Death is a movie, of the genre <mask>.	The ABCs of Death is a movie, released 2012, of the genre <mask>.
1004	The Glimmer Man	1996	Brian Cox	United States of America	John Gray	Steven Seagal	Warner Bros.	Donn Cambern	Kevin Brodbin	Trevor Rabin	The Glimmer Man is a movie, of the genre <mask>.	The Glimmer Man is a movie, released 1996, of the genre <mask>.
100440	Lore	2012	Ursina Lardi	United Kingdom	Cate Shortland	Liz Watts	Netflix	Veronika Jenet	Cate Shortland	Max Richter	Lore is a movie, of the genre <mask>.	Lore is a movie, released 2012, of the genre <mask>.
100498	A Good Day to Die Hard	2013	Bruce Willis	United States of America	John Moore	Alex Yang	InterCom	Dan Zimmerman	Skip Woods	Marco Beltrami	A Good Day to Die Hard is a movie, of the genre <mask>.	A Good Day to Die Hard is a movie, released 2013, of the genre <mask>.
1005	D3: The Mighty Ducks	1996	Steven Brill	United States of America	Robert Lieberman	Jon Avnet	Walt Disney Studios Motion Pictures	Patrick Lussier	Steven Brill	J. A. C. Redford	D3: The Mighty Ducks is a movie, of the genre <mask>.	D3: The Mighty Ducks is a movie, released 1996, of the genre <mask>.
100507	21 & Over	2013	Justin Chon	United States of America	Scott Moore	Ryan Kavanaugh	Netflix	John Refoua	Jon Lucas	Lyle Workman	21 & Over is a movie, of the genre <mask>.	21 & Over is a movie, released 2013, of the genre <mask>.
100515	War Witch	2012	Rachel Mwanza	Canada	Kim Nguyen	Pierre Even	Netflix	Richard Comeau	Kim Nguyen	Gabriel Yared	War Witch is a movie, of the genre <mask>.	War Witch is a movie, released 2012, of the genre <mask>.
100527	Safe Haven	2013	Josh Duhamel	United States of America	Lasse Hallström	Ryan Kavanaugh	Netflix	Andrew Mondshein	Leslie Bohem	Deborah Lurie	Safe Haven is a movie, of the genre <mask>.	Safe Haven is a movie, released 2013, of the genre <mask>.
100591	The Mind Reader	1933	Warren William	United States of America	Roy Del Ruth	Hal B. Wallis	Warner Bros.	James Gibbon	Robert Lord	Bernhard Kaun	The Mind Reader is a movie, of the genre <mask>.	The Mind Reader is a movie, released 1933, of the genre <mask>.
1006	The Chamber	1996	Faye Dunaway	United States of America	James Foley	Brian Grazer	Universal Pictures	Mark Warner	John Grisham	Carter Burwell	The Chamber is a movie, of the genre <mask>.	The Chamber is a movie, released 1996, of the genre <mask>.
100714	Before Midnight	2013	Ethan Hawke	United States of America	Richard Linklater	Christos V. Konstantakopoulos	ADS Service	Sandra Adair	Ethan Hawke	Graham Reynolds	Before Midnight is a movie, of the genre <mask>.	Before Midnight is a movie, released 2013, of the genre <mask>.
1008	Davy Crockett, King of the Wild Frontier	1955	Basil Ruysdael	United States of America	Norman Foster	Walt Disney	Netflix	Chester Schaeffer	Tom W. Blackburn	George Bruns	Davy Crockett, King of the Wild Frontier is a movie, of the genre <mask>.	Davy Crockett, King of the Wild Frontier is a movie, released 1955, of the genre <mask>.
1009	Escape to Witch Mountain	1975	Reta Shaw	United States of America	John Hough	Ron W. Miller	Disney+	Robert Stafford	Robert Milton Young	Johnny Mandel	Escape to Witch Mountain is a movie, of the genre <mask>.	Escape to Witch Mountain is a movie, released 1975, of the genre <mask>.
100906	Maniac Cop 2	1990	Danny Trejo	United States of America	William Lustig	Larry Cohen	Artisan Entertainment	David J. Kern	Larry Cohen	Jay Chattaway	Maniac Cop 2 is a movie, of the genre <mask>.	Maniac Cop 2 is a movie, released 1990, of the genre <mask>.
1010	The Love Bug	1969	Chick Hearn	United States of America	Robert Stevenson	Bill Walsh	Netflix	Cotton Warburton	Don DaGradi	George Bruns	The Love Bug is a movie, of the genre <mask>.	The Love Bug is a movie, released 1969, of the genre <mask>.
101025	Jack the Giant Slayer	2013	Stanley Tucci	United States of America	Bryan Singer	David Dobkin	Warner Bros.	Bob Ducsay	Christopher McQuarrie	John Ottman	Jack the Giant Slayer is a movie, of the genre <mask>.	Jack the Giant Slayer is a movie, released 2013, of the genre <mask>.
101060	The Last Exorcism Part II	2013	Louis Herthum	United States of America	Ed Gass-Donnelly	Eli Roth	CBS Films	Ed Gass-Donnelly	Damien Chazelle	Michael Wandmacher	The Last Exorcism Part II is a movie, of the genre <mask>.	The Last Exorcism Part II is a movie, released 2013, of the genre <mask>.
101064	Verboten!	1959	Paul Busch	United States of America	Samuel Fuller	Samuel Fuller	Columbia Pictures	Philip Cahn	Samuel Fuller	Harry Sukman	Verboten! is a movie, of the genre <mask>.	Verboten! is a movie, released 1959, of the genre <mask>.
101068	The Solitude of Prime Numbers	2010	Isabella Rossellini	Italy	Saverio Costanzo	Fausto Brizzi	Netflix	Francesca Calvelli	Paolo Giordano	Mike Patton	The Solitude of Prime Numbers is a movie, of the genre <mask>.	The Solitude of Prime Numbers is a movie, released 2010, of the genre <mask>.
101076	G.I. Joe: Retaliation	2013	RZA	United States of America	Jon M. Chu	Lorenzo di Bonaventura	Netflix	Roger Barton	Paul Wernick	Henry Jackman	G.I. Joe: Retaliation is a movie, of the genre <mask>.	G.I. Joe: Retaliation is a movie, released 2013, of the genre <mask>.
101088	Stoker	2013	Nicole Kidman	United States of America	Park Chan-wook	Tony Scott	Netflix	Nicolas De Toth	Wentworth Miller	Clint Mansell	Stoker is a movie, of the genre <mask>.	Stoker is a movie, released 2013, of the genre <mask>.
1011	Herbie Rides Again	1974	Helen Hayes	United States of America	Robert Stevenson	Bill Walsh	Disney+	Cotton Warburton	Bill Walsh	George Bruns	Herbie Rides Again is a movie, of the genre <mask>.	Herbie Rides Again is a movie, released 1974, of the genre <mask>.
101112	Oz the Great and Powerful	2013	Rachel Weisz	United States of America	Sam Raimi	Joe Roth	Netflix	Bob Murawski	David Lindsay-Abaire	Danny Elfman	Oz the Great and Powerful is a movie, of the genre <mask>.	Oz the Great and Powerful is a movie, released 2013, of the genre <mask>.
1012	Old Yeller	1957	Kevin Corcoran	United States of America	Robert Stevenson	Walt Disney	Walt Disney Studios Motion Pictures	Stanley Johnson	Fred Gipson	Oliver Wallace	Old Yeller is a movie, of the genre <mask>.	Old Yeller is a movie, released 1957, of the genre <mask>.
101204	The Hucksters	1947	Douglas Fowley	United States of America	Jack Conway	Arthur Hornblow	Metro-Goldwyn-Mayer	Frank Sullivan	George Wells	Lennie Hayton	The Hucksters is a movie, of the genre <mask>.	The Hucksters is a movie, released 1947, of the genre <mask>.
101207	Emperor	2012	Tommy Lee Jones	Japan	Peter Webber	Yōko Narahashi	ADS Service	Chris Plummer	David Klass	Alex Heffes	Emperor is a movie, of the genre <mask>.	Emperor is a movie, released 2012, of the genre <mask>.
101214	Genghis Khan	1965	Eli Wallach	United States of America	Henry Levin	Irving Allen	Columbia Pictures	Geoffrey Foot	Beverley Cross	Dušan Radić	Genghis Khan is a movie, of the genre <mask>.	Genghis Khan is a movie, released 1965, of the genre <mask>.
101233	The Glass Menagerie	1950	Jane Wyman	United States of America	Irving Rapper	Warner Bros.	Warner Bros.	David Weisbart	Tennessee Williams	Max Steiner	The Glass Menagerie is a movie, of the genre <mask>.	The Glass Menagerie is a movie, released 1950, of the genre <mask>.
101235	The Great Gatsby	1949	Macdonald Carey	United States of America	Elliott Nugent	Richard Maibaum	Paramount Pictures	Ellsworth Hoagland	Richard Maibaum	Robert E. Dolan	The Great Gatsby is a movie, of the genre <mask>.	The Great Gatsby is a movie, released 1949, of the genre <mask>.
101247	Westward the Women	1951	Robert Taylor	United States of America	William A. Wellman	Dore Schary	Metro-Goldwyn-Mayer	James E. Newcom	Frank Capra	Jeff Alexander	Westward the Women is a movie, of the genre <mask>.	Westward the Women is a movie, released 1951, of the genre <mask>.
101262	Geek Charming	2011	Sasha Pieterse	United States of America	Jeffrey Hornaday	Tracey Jeffrey	Netflix	David Finfer	Elizabeth Hackett	Nathan Wang	Geek Charming is a movie, of the genre <mask>.	Geek Charming is a movie, released 2011, of the genre <mask>.
101283	The Incredible Burt Wonderstone	2013	Alan Arkin	United States of America	Don Scardino	Steve Carell	Warner Bros.	Lee Haxall	John Francis Daley	Lyle Workman	The Incredible Burt Wonderstone is a movie, of the genre <mask>.	The Incredible Burt Wonderstone is a movie, released 2013, of the genre <mask>.
101287	The Red Spectacles	1987	Hideyo Amamoto	Japan	Mamoru Oshii	Shigeharu Shiba	Omnibus Promotion	Seiji Morita	Mamoru Oshii	Kenji Kawai	The Red Spectacles is a movie, of the genre <mask>.	The Red Spectacles is a movie, released 1987, of the genre <mask>.
101296	I'm So Excited	2013	Penélope Cruz	Spain	Pedro Almodóvar	Agustín Almodóvar	Sony Pictures Classics	José Salcedo	Pedro Almodóvar	Alberto Iglesias	I'm So Excited is a movie, of the genre <mask>.	I'm So Excited is a movie, released 2013, of the genre <mask>.
1013	The Parent Trap	1961	Cathleen Nesbitt	United States of America	David Swift	Walt Disney	Netflix	Philip W. Anderson	David Swift	Paul Smith	The Parent Trap is a movie, of the genre <mask>.	The Parent Trap is a movie, released 1961, of the genre <mask>.
101319	Operation Daybreak	1975	Jaroslav Drbohlav	United States of America	Lewis Gilbert	Carter DeHaven	Warner Bros.	Thelma Connell	Ronald Harwood	David Hentschel	Operation Daybreak is a movie, of the genre <mask>.	Operation Daybreak is a movie, released 1975, of the genre <mask>.
101362	Olympus Has Fallen	2013	Dylan McDermott	United States of America	Antoine Fuqua	Gerard Butler	FilmDistrict	John Refoua	Creighton Rothenberger	Trevor Morris	Olympus Has Fallen is a movie, of the genre <mask>.	Olympus Has Fallen is a movie, released 2013, of the genre <mask>.
1014	Pollyanna	1960	Karl Malden	United States of America	David Swift	Walt Disney	Netflix	Frank Gross	David Swift	Paul Smith	Pollyanna is a movie, of the genre <mask>.	Pollyanna is a movie, released 1960, of the genre <mask>.
101400	Abraham Lincoln	1930	Frank Campeau	United States of America	D. W. Griffith	Joseph M. Schenck	United Artists Corporation	James Smith	Stephen Vincent Benét	Hugo Riesenfeld	Abraham Lincoln is a movie, of the genre <mask>.	Abraham Lincoln is a movie, released 1930, of the genre <mask>.
101450	The Kiss	1929	Greta Garbo	United States of America	Jacques Feyder	Irving Thalberg	Metro-Goldwyn-Mayer	Ben Lewis	Hanns Kräly	Rudolf Friml	The Kiss is a movie, of the genre <mask>.	The Kiss is a movie, released 1929, of the genre <mask>.
101485	Upper World	1934	Ginger Rogers	United States of America	Roy Del Ruth	Hal B. Wallis	Warner Bros.	Owen Marks	Ben Hecht	Bernhard Kaun	Upper World is a movie, of the genre <mask>.	Upper World is a movie, released 1934, of the genre <mask>.
101498	In the House	2012	Emmanuelle Seigner	France	François Ozon	Claudie Ossard	Vertigo Média	Laure Gardette	François Ozon	Philippe Rombi	In the House is a movie, of the genre <mask>.	In the House is a movie, released 2012, of the genre <mask>.
101577	The Host	2013	Frances Fisher	United States of America	Andrew Niccol	Stephenie Meyer	Netflix	Thomas J. Nordberg	Stephenie Meyer	Antonio Pinto	The Host is a movie, of the genre <mask>.	The Host is a movie, released 2013, of the genre <mask>.
101595	A Breed Apart	1984	Powers Boothe	United States of America	Philippe Mora	John Daly	Hemdale Film Corporation	Chris Lebenzon	Paul Wheeler	Maurice Gibb	A Breed Apart is a movie, of the genre <mask>.	A Breed Apart is a movie, released 1984, of the genre <mask>.
1016	The Shaggy Dog	1959	Jean Hagen	United States of America	Charles Barton	Walt Disney	Netflix	James Ballas	Bill Walsh	Paul Smith	The Shaggy Dog is a movie, of the genre <mask>.	The Shaggy Dog is a movie, released 1959, of the genre <mask>.
101627	Confidential Agent	1945	Charles Boyer	United States of America	Herman Shumlin	Robert Buckner	Warner Bros.	George Amy	Robert Buckner	Franz Waxman	Confidential Agent is a movie, of the genre <mask>.	Confidential Agent is a movie, released 1945, of the genre <mask>.
101648	The Flat	2011	Yoni Rechter	Israel	Arnon Goldfinger	Thomas Kufus	Hulu	Tali Helter-Shenkar	Arnon Goldfinger	Yoni Rechter	The Flat is a movie, of the genre <mask>.	The Flat is a movie, released 2011, of the genre <mask>.
101653	Magadheera	2009	Kajal Aggarwal	India	S. S. Rajamouli	B. V. S. N. Prasad	Geetha Arts	Kotagiri Venkateswara Rao	S. S. Rajamouli	M. M. Keeravani	Magadheera is a movie, of the genre <mask>.	Magadheera is a movie, released 2009, of the genre <mask>.
101664	Hey Ram	2000	Shah Rukh Khan	India	Kamal Haasan	Kamal Haasan	Netflix	Renu Saluja	Kamal Haasan	Ilaiyaraaja	Hey Ram is a movie, of the genre <mask>.	Hey Ram is a movie, released 2000, of the genre <mask>.
101666	A Night in Heaven	1983	Andy Garcia	United States of America	John G. Avildsen	Hawk Koch	Netflix	John G. Avildsen	Joan Tewkesbury	Jan Hammer	A Night in Heaven is a movie, of the genre <mask>.	A Night in Heaven is a movie, released 1983, of the genre <mask>.
101674	The Ghost Galleon	1974	Blanca Estrada	Spain	Amando de Ossorio Rodríguez	José Luis Bermúdez	Netflix	Petra de Nieva	Amando de Ossorio Rodríguez	Antón García Abril	The Ghost Galleon is a movie, of the genre <mask>.	The Ghost Galleon is a movie, released 1974, of the genre <mask>.
1017	Swiss Family Robinson	1960	Janet Munro	United States of America	Ken Annakin	Walt Disney	Netflix	Peter Boita	Lowell S. Hawley	William Alwyn	Swiss Family Robinson is a movie, of the genre <mask>.	Swiss Family Robinson is a movie, released 1960, of the genre <mask>.
101719	Koi... Mil Gaya	2003	Hrithik Roshan	India	Rakesh Roshan	Rakesh Roshan	Netflix	Sanjay Sankla	Sachin Bhowmick	Rajesh Roshan	Koi... Mil Gaya is a movie, of the genre <mask>.	Koi... Mil Gaya is a movie, released 2003, of the genre <mask>.
101739	Evil Dead	2013	Lorenzo Lamas	United States of America	Fede Álvarez	Bruce Campbell	Netflix	Bryan Shaw	Diablo Cody	Roque Baños	Evil Dead is a movie, of the genre <mask>.	Evil Dead is a movie, released 2013, of the genre <mask>.
101741	Trance	2013	James McAvoy	United Kingdom	Danny Boyle	Christian Colson	Searchlight Pictures	Jon Harris	Joe Ahearne	Rick Smith	Trance is a movie, of the genre <mask>.	Trance is a movie, released 2013, of the genre <mask>.
101747	The War of the Gargantuas	1968	Russ Tamblyn	Japan	Ishirō Honda	Tomoyuki Tanaka	Netflix	Ryōhei Fujii	Ishirō Honda	Akira Ifukube	The War of the Gargantuas is a movie, of the genre <mask>.	The War of the Gargantuas is a movie, released 1968, of the genre <mask>.
1018	That Darn Cat!	1965	Frank Gorshin	United States of America	Robert Stevenson	Walt Disney	Walt Disney Studios Motion Pictures	Cotton Warburton	Bill Walsh	Sherman Brothers	That Darn Cat! is a movie, of the genre <mask>.	That Darn Cat! is a movie, released 1965, of the genre <mask>.
101812	The Mountain	1956	Spencer Tracy	United States of America	Edward Dmytryk	Edward Dmytryk	Paramount Pictures	Frank Bracht	Ranald MacDougall	Daniele Amfitheatrof	The Mountain is a movie, of the genre <mask>.	The Mountain is a movie, released 1956, of the genre <mask>.
101820	The Fighting Prince of Donegal	1966	Maurice Roëves	United States of America	Michael O'Herlihy	Walt Disney	Walt Disney Studios Motion Pictures	Peter Boita	Robert Westerby	George Bruns	The Fighting Prince of Donegal is a movie, of the genre <mask>.	The Fighting Prince of Donegal is a movie, released 1966, of the genre <mask>.
101827	Don't Make Waves	1967	Claudia Cardinale	United States of America	Alexander Mackendrick	John Calley	Metro-Goldwyn-Mayer	Rita Roland	Terry Southern	Vic Mizzy	Don't Make Waves is a movie, of the genre <mask>.	Don't Make Waves is a movie, released 1967, of the genre <mask>.
101864	Oblivion	2013	Morgan Freeman	United States of America	Joseph Kosinski	Joseph Kosinski	Netflix	Richard Francis-Bruce	Michael Arndt	M83	Oblivion is a movie, of the genre <mask>.	Oblivion is a movie, released 2013, of the genre <mask>.
101880	Siberian Education	2013	Stefano Rulli	Italy	Gabriele Salvatores	Riccardo Tozzi	Netflix	Massimo Fiocchi	Gabriele Salvatores	Mauro Pagani	Siberian Education is a movie, of the genre <mask>.	Siberian Education is a movie, released 2013, of the genre <mask>.
101884	Dark Tide	2012	Ralph Brown	United States of America	John Stockwell	Jeanette B. Milio	Netflix	Andrew MacRitchie	Ronnie Christensen	Mark Sayfritz	Dark Tide is a movie, of the genre <mask>.	Dark Tide is a movie, released 2012, of the genre <mask>.
101895	42	2013	Rhoda Griffis	United States of America	Brian Helgeland	Thomas Tull	Warner Bros.	Peter McNulty	Brian Helgeland	Mark Isham	42 is a movie, of the genre <mask>.	42 is a movie, released 2013, of the genre <mask>.
1019	20,000 Leagues Under the Sea	1954	Kirk Douglas	United States of America	Richard Fleischer	Walt Disney	Netflix	Elmo Williams	Earl Felton	Al Hoffman	20,000 Leagues Under the Sea is a movie, of the genre <mask>.	20,000 Leagues Under the Sea is a movie, released 1954, of the genre <mask>.
101942	Love Is All You Need	2012	Sebastian Jessen	Sweden	Susanne Bier	Vibeke Windeløv	Cirko Film	Morten Egholm	Susanne Bier	Johan Söderqvist	Love Is All You Need is a movie, of the genre <mask>.	Love Is All You Need is a movie, released 2012, of the genre <mask>.
1020	Cool Runnings	1993	Peter Outerbridge	Canada	Jon Turteltaub	Dawn Steel	Netflix	Bruce Green	Michael Goldberg	Hans Zimmer	Cool Runnings is a movie, of the genre <mask>.	Cool Runnings is a movie, released 1993, of the genre <mask>.
102033	Pain & Gain	2013	Dwayne Johnson	United States of America	Michael Bay	Michael Bay	UIP-Dunafilm	Tom Muldoon	Christopher Markus and Stephen McFeely	Steve Jablonsky	Pain & Gain is a movie, of the genre <mask>.	Pain & Gain is a movie, released 2013, of the genre <mask>.
102047	The Bride Came C.O.D.	1941	Bette Davis	United States of America	William Keighley	Hal B. Wallis	Warner Bros.	Thomas Richards	Philip G. Epstein	Max Steiner	The Bride Came C.O.D. is a movie, of the genre <mask>.	The Bride Came C.O.D. is a movie, released 1941, of the genre <mask>.
102088	The Grandmaster	2013	Zhang Ziyi	People's Republic of China	Wong Kar-wai	Wong Kar-wai	Netflix	William Chang	Wong Kar-wai	Shigeru Umebayashi	The Grandmaster is a movie, of the genre <mask>.	The Grandmaster is a movie, released 2013, of the genre <mask>.
1021	Angels in the Outfield	1994	Christopher Lloyd	United States of America	William Dear	Joe Roth	Netflix	Bruce Green	Holly Goldberg Sloan	Randy Edelman	Angels in the Outfield is a movie, of the genre <mask>.	Angels in the Outfield is a movie, released 1994, of the genre <mask>.
102109	Polly of the Circus	1932	Clark Gable	United States of America	Alfred Santell	Marion Davies	Metro-Goldwyn-Mayer	George Hively	Carey Wilson	William Axt	Polly of the Circus is a movie, of the genre <mask>.	Polly of the Circus is a movie, released 1932, of the genre <mask>.
102123	This Is the End	2013	Rihanna	United States of America	Seth Rogen	Seth Rogen	Netflix	Zene Baker	Seth Rogen	Henry Jackman	This Is the End is a movie, of the genre <mask>.	This Is the End is a movie, released 2013, of the genre <mask>.
102125	Iron Man 3	2013	Bill Maher	United States of America	Shane Black	Kevin Feige	Paramount Pictures	Jeffrey Ford	Stan Lee	Brian Tyler	Iron Man 3 is a movie, of the genre <mask>.	Iron Man 3 is a movie, released 2013, of the genre <mask>.
102131	Valentino	1977	Rudolf Nureyev	United Kingdom	Ken Russell	Robert Chartoff	United Artists Corporation	Stuart Baird	Ken Russell	Stanley Black	Valentino is a movie, of the genre <mask>.	Valentino is a movie, released 1977, of the genre <mask>.
102138	The Black Camel	1931	Bela Lugosi	United States of America	Hamilton MacFadden	Hamilton MacFadden	Netflix	Alfred DeGaetano	Dudley Nichols	Samuel Kaylin	The Black Camel is a movie, of the genre <mask>.	The Black Camel is a movie, released 1931, of the genre <mask>.
102174	Day of the Falcon	2011	Freida Pinto	Italy	Jean-Jacques Annaud	Tarak Ben Ammar	Hulu	Hervé Schneid	Jean-Jacques Annaud	James Horner	Day of the Falcon is a movie, of the genre <mask>.	Day of the Falcon is a movie, released 2011, of the genre <mask>.
102303	Ovosodo	1997	Nicoletta Braschi	Italy	Paolo Virzì	Vittorio Cecchi Gori	Cecchi Gori Group	Jacopo Quadri	Paolo Virzì	Battista Lena	Ovosodo is a movie, of the genre <mask>.	Ovosodo is a movie, released 1997, of the genre <mask>.
102373	Tomorrow, the World	1944	Fredric March	United States of America	Leslie Fenton	Lester Cowan	United Artists Corporation	Anne Bauchens	Ring Lardner	Louis Applebaum	Tomorrow, the World is a movie, of the genre <mask>.	Tomorrow, the World is a movie, released 1944, of the genre <mask>.
1024	The Three Caballeros	1945	Aurora Miranda	United States of America	Norm Ferguson	Walt Disney	RKO Pictures	Donald Halliday	Bill Peet	Paul Smith	The Three Caballeros is a movie, of the genre <mask>.	The Three Caballeros is a movie, released 1945, of the genre <mask>.
102407	The Great Gatsby	2013	Amitabh Bachchan	United States of America	Baz Luhrmann	Baz Luhrmann	InterCom	Jason Ballantine	Baz Luhrmann	Craig Armstrong	The Great Gatsby is a movie, of the genre <mask>.	The Great Gatsby is a movie, released 2013, of the genre <mask>.
102445	Star Trek Into Darkness	2013	Bill Hader	United States of America	J. J. Abrams	J. J. Abrams	Paramount Pictures	Maryann Brandon	Damon Lindelof	Michael Giacchino	Star Trek Into Darkness is a movie, of the genre <mask>.	Star Trek Into Darkness is a movie, released 2013, of the genre <mask>.
102456	An American Romance	1944	Snub Pollard	United States of America	King Vidor	King Vidor	Loews Cineplex Entertainment	Conrad A. Nervig	William Ludwig	Louis Gruenberg	An American Romance is a movie, of the genre <mask>.	An American Romance is a movie, released 1944, of the genre <mask>.
102481	The Internship	2013	Aasif Mandvi	United States of America	Shawn Levy	Vince Vaughn	InterCom	Dean Zimmerman	Vince Vaughn	Christophe Beck	The Internship is a movie, of the genre <mask>.	The Internship is a movie, released 2013, of the genre <mask>.
102483	Bliss	2007	Özgü Namal	Turkey	Abdullah Oğuz	Abdullah Oğuz	Netflix	Abdullah Oğuz	Zülfü Livaneli	Zülfü Livaneli	Bliss is a movie, of the genre <mask>.	Bliss is a movie, released 2007, of the genre <mask>.
102535	Sissi – The Young Empress	1956	Josef Meinrad	Austria	Ernst Marischka	Ernst Marischka	Netflix	Alfred Srp	Ernst Marischka	Anton Profes	Sissi – The Young Empress is a movie, of the genre <mask>.	Sissi – The Young Empress is a movie, released 1956, of the genre <mask>.
1026	So Dear to My Heart	1949	Burl Ives	United States of America	Hamilton Luske	Walt Disney	RKO Pictures	Lloyd Richardson	John Tucker Battle	Don Raye	So Dear to My Heart is a movie, of the genre <mask>.	So Dear to My Heart is a movie, released 1949, of the genre <mask>.
102684	Only God Forgives	2013	Ryan Gosling	United States of America	Nicolas Winding Refn	Lene Børglum	The Weinstein Company	Matthew Newman	Nicolas Winding Refn	Cliff Martinez	Only God Forgives is a movie, of the genre <mask>.	Only God Forgives is a movie, released 2013, of the genre <mask>.
